,yaaI
Cr_1,0.002285634483781958
Cr_2,0.010345801954118187
Cr_3,0.017576699503413645
Cr_4,0.02350349825907293
Cr_5,0.028177611043652618
Cr_6,0.03209680830220931
Fe_1,-0.007282250061292787
Fe_2,-0.015325148304490863
Fe_3,-0.02023737336689137
Fe_4,-0.024198027387047884
Fe_5,-0.025981734825004318
Fe_6,-0.021132699979707018
Cd_1,0.0031842142868742395
Cd_2,0.006663446946491615
Cd_3,0.012239208472564732
Cd_4,0.01830557731334077
Cd_5,0.016571715128327225
Cd_6,0.021089171922995816
Zn_1,0.0006377073985795287
Zn_2,0.006845149266587635
Zn_3,0.01867424648472865
Zn_4,0.037460962732957744
Zn_5,0.0526688659371928
Zn_6,0.06761124921086528
Cu_1,0.002398059052100721
Cu_2,0.0030187283335436823
Cu_3,0.008922268358743138
Cu_4,0.0160526861933604
Cu_5,0.018972683481553083
Cu_6,0.025548105078750383
Pb_1,0.0025829934515417363
Pb_2,0.001027400739791669
Pb_3,0.0019199942198870586
Pb_4,0.004967659112704472
Pb_5,0.009538621759196323
Pb_6,0.012834268230769302
