,A,FleQ
R2,,0.008104159650566545
xmin,,-6.938219902666667
xmid,,0.2090383993611222
xmax,,1.6957940760000012
ystart,,-0.4017944881760851
yend,,-4.006794672053065
ALE:GalactoseA5:1.0,14.158768706840451,-0.0920918525000011
ALE:GalactoseA5:2.0,13.833452641997798,-0.0489481035000007
ALE:GalactoseA6:1.0,12.922490916958616,-0.5073050475000009
ALE:GalactoseA6:2.0,12.779525471726112,-0.2844209625000005
ALE:GalactoseA8:1.0,10.510710500075293,0.0952938284999991
ALE:GalactoseA8:2.0,10.960687783694857,-0.0174945565000008
ALE:IL_Control:1.0,-1.6009489361963736,-0.0550559064999998
ALE:IL_Control:2.0,-1.4701514579257835,-0.0507591645000005
ALE:IL_Control:3.0,0.7350674330551438,0.1377614444999988
ALE:IL_Control:4.0,2.33603296238272,-0.0319463735000002
ALE:IL_TEOH_OAc:1.0,11.84528076293073,-0.2680601014999997
ALE:IL_TEOH_OAc:2.0,15.273192547585236,0.0008148544999997
ALE:IL_TEA_HS:1.0,4.191521909792003,-0.0966131875000009
ALE:IL_TEA_HS:2.0,4.458003366986808,-0.2564567145000005
ALE:IL_Mixed:1.0,18.10202406643056,0.2019503055000004
ALE:IL_Mixed:2.0,19.7673588892224,-0.0256681555
ALE:IL_PP5350:1.0,1.864746652254108,0.0296293675000001
ALE:IL_PP5350:2.0,5.390761888008436,-0.0315483455000009
ALE:IL_T8:1.0,-0.3335610740324702,0.1368566444999999
ALE:IL_T8:2.0,1.0163236076806388,0.1608791684999992
ALE:IL_T9:1.0,-0.5235213933215085,-1.3360216715000002
ALE:IL_T9:2.0,-0.0210030735005719,-1.3675638905000005
ALE:IL_Control2:1.0,17.56176047400801,-0.3088413445000011
ALE:IL_Control2:2.0,23.392845066683527,-0.4757852235000008
ALE:IL_Glc+Ace:1.0,16.54737475181806,0.1312277944999991
ALE:IL_Glc+Ace:2.0,16.435891340027542,0.2580034414999996
ALE:XyloseA1:1.0,15.14300395376497,0.1633646174999992
ALE:XyloseA1:2.0,14.443439199042318,0.2987293045000001
ALE:XyloseA2:1.0,7.701706709057069,0.1440609184999992
ALE:XyloseA2:2.0,7.711860946938645,0.3550810354999996
ALE:XyloseA3:1.0,7.627349681411947,0.0548876754999998
ALE:XyloseA3:2.0,7.68199471426578,0.1883505154999998
ALE:XyloseA4:1.0,14.912249591519412,0.2090384054999994
ALE:XyloseA4:2.0,14.11636858133281,0.1374903085000003
Aromatic:Coumarate:1.0,-5.382825712282883,0.1919889096666667
Aromatic:Coumarate:2.0,-4.184606887801976,0.0583215656666666
Aromatic:Coumarate:3.0,-6.117713306312237,0.1774013236666665
Aromatic:Coumarate+ferulate:1.0,-6.631531659225828,0.3171075326666672
Aromatic:Coumarate+ferulate:2.0,-5.995680243683374,0.486502146666667
Aromatic:Coumarate+ferulate:3.0,-7.830876626523904,0.4344591946666671
Aromatic:Ferulate:1.0,-9.681235238255184,0.3393162146666668
Aromatic:Ferulate:2.0,-8.242659255313573,0.3465403586666671
Aromatic:Ferulate:3.0,-7.67766680798405,0.253448319666667
Aromatic:Glucose:1.0,-0.1333067165937606,-0.1795016883333335
Aromatic:Glucose:2.0,-1.1173641584275464,0.129650178666667
Aromatic:Glucose:3.0,1.2506708742659576,0.0498515096666665
Bioreactor1:24h:1.0,-0.6303225687922995,0.0715200275
Bioreactor1:24h:2.0,0.6303225691026885,-0.0715200275
Bioreactor2:S_0min:1.0,0.4328121788464049,-0.1572609656666665
Bioreactor2:S_15min:1.0,0.0187076652882503,-0.1031148256666663
Bioreactor2:P1_15min:1.0,-0.1143310084591475,-0.1487336226666666
Bioreactor2:P3_15min:1.0,-0.1002923738640446,-0.152119819666666
Bioreactor2:P5_15min:1.0,-1.5512071691160247,-0.0380281836666664
Bioreactor2:S_1h:1.0,-0.4898927491742698,0.0985070253333333
Bioreactor2:S_3h:1.0,0.7739606509098437,0.0648597263333332
Bioreactor2:S_9h:1.0,1.6012240777324471,0.2480688773333339
Bioreactor2:S_25h:1.0,1.2684449074552493,0.0012105223333334
Bioreactor2:P1_25h:1.0,1.7481361315488777,-0.2013837576666661
Bioreactor2:P3_25h:1.0,0.5307180858766618,0.0434456353333336
Bioreactor2:P5_25h:1.0,0.9065807257969258,0.4415696603333332
Bioreactor2:S_0min:2.0,-0.5891118023063954,0.5298296503333333
Bioreactor2:S_15min:2.0,1.445566841598836,0.3061994603333335
Bioreactor2:P1_15min:2.0,1.1956855030245004,-0.1583715076666667
Bioreactor2:P3_15min:2.0,0.3043274241263967,0.1690521563333336
Bioreactor2:P5_15min:2.0,-1.201596779796969,0.0782891913333339
Bioreactor2:S_1h:2.0,0.3754161133772267,-0.1904099796666667
Bioreactor2:S_3h:2.0,1.4149566489579726,0.116363483333334
Bioreactor2:S_9h:2.0,2.0537718364350868,0.2543707323333333
Bioreactor2:S_25h:2.0,2.627713781792715,0.3275280483333338
Bioreactor2:P1_25h:2.0,2.2200139836339305,-0.0786102066666663
Bioreactor2:P3_25h:2.0,1.1785267107472197,-0.0836554716666659
Bioreactor2:P5_25h:2.0,0.563458771826822,0.2432156463333337
Bioreactor2:S_0min:3.0,0.1562996219549405,-0.3725686846666667
Bioreactor2:S_15min:3.0,0.4949016217278171,-0.2007803856666665
Bioreactor2:P1_15min:3.0,0.573750203946108,-0.6134683956666667
Bioreactor2:P3_15min:3.0,-0.4321962296840921,-0.2982149866666663
Bioreactor2:P5_15min:3.0,-1.3207633031455674,-0.2288733636666666
Bioreactor2:S_1h:3.0,0.0965763633401079,-0.1196509616666663
Bioreactor2:S_3h:3.0,0.8481015313926439,-0.1208936806666667
Bioreactor2:S_9h:3.0,1.541286662595336,-0.1927476626666662
Bioreactor2:S_25h:3.0,1.96460503435013,-0.4397113906666661
Bioreactor2:P1_25h:3.0,1.2586361552482177,-0.3191448056666663
Bioreactor2:P3_25h:3.0,1.0861863700843133,-0.2489223776666662
Bioreactor2:P5_25h:3.0,-0.2678827925025478,-0.0808690506666662
Carbon:Citrate:1.0,-2.6500406593570465,0.7941443464999995
