,trpL
Cr_1,-0.0029947920817419878
Cr_2,-0.004203169795340161
Cr_3,0.0010485867982561866
Cr_4,0.004938615314741525
Cr_5,0.004139595554684601
Cr_6,0.0012503274746503536
Fe_1,-0.022226872575912642
Fe_2,-0.06432524638668864
Fe_3,-0.10976311612589572
Fe_4,-0.14386692938553716
Fe_5,-0.1544464251031188
Fe_6,-0.1475055322827886
Cd_1,0.0034216517164478467
Cd_2,0.01116688441602418
Cd_3,0.021508258368659137
Cd_4,0.03147290679791859
Cd_5,0.036702295136007715
Cd_6,0.03942559123273976
Zn_1,-0.050643445326451327
Zn_2,-0.08378791645155283
Zn_3,-0.10589328013708547
Zn_4,-0.1174285715453769
Zn_5,-0.125451885902636
Zn_6,-0.12577472834370504
Cu_1,0.004155022258646664
Cu_2,0.0047373634622559615
Cu_3,0.0018636655565650337
Cu_4,0.0007832694925564883
Cu_5,0.0031492491312851327
Cu_6,0.005108384662488747
Pb_1,0.0009445511905786623
Pb_2,0.0015568497800550365
Pb_3,0.003138393984418898
Pb_4,0.0040845847589519
Pb_5,0.005435461419218261
Pb_6,0.0068349171688815115
