,ompC
Cr_1,0.00018166276422724932
Cr_2,0.0018521774195733925
Cr_3,-0.0002547529034811213
Cr_4,-0.003407412758903092
Cr_5,-0.0060153751228081975
Cr_6,-0.007009602304915128
Fe_1,-0.0015236593417723885
Fe_2,-0.008261257008926916
Fe_3,-0.012843879044110957
Fe_4,-0.018325631922479872
Fe_5,-0.014833603864025685
Fe_6,-0.011940098279875496
Cd_1,0.0036572240960854882
Cd_2,0.008575551103859056
Cd_3,0.014805660091857737
Cd_4,0.021627006831260044
Cd_5,0.028039674859287832
Cd_6,0.03471704555006982
Zn_1,-0.002003862367936755
Zn_2,0.0002784599843083603
Zn_3,0.010076885502043359
Zn_4,0.01301615883320059
Zn_5,0.01899228169842678
Zn_6,0.01486116190139749
Cu_1,0.004859412396950374
Cu_2,0.00881208783434793
Cu_3,0.009812017002758676
Cu_4,0.009582355615152546
Cu_5,0.007763771188367474
Cu_6,0.0067907225076960865
Pb_1,4.010594850343877e-05
Pb_2,0.005901334721159822
Pb_3,0.012226804309252609
Pb_4,0.016874877066842545
Pb_5,0.021715374635201654
Pb_6,0.023572576840969715
