,lipB
Cr_1,0.0006717698434290705
Cr_2,0.0042510889897909
Cr_3,0.0028393258322748096
Cr_4,0.008655079045006179
Cr_5,0.010929211389941814
Cr_6,0.01942588499565547
Fe_1,-0.0364814082664247
Fe_2,-0.07922251140973248
Fe_3,-0.10842842961255644
Fe_4,-0.13702509846279953
Fe_5,-0.16365597209682367
Fe_6,-0.19161195073837145
Cd_1,0.006314819200578017
Cd_2,0.0064933490722001285
Cd_3,0.01801764289935037
Cd_4,0.026991346636633443
Cd_5,0.0295984255257052
Cd_6,0.030583809281027937
Zn_1,-0.031243074438085
Zn_2,-0.06651086223239189
Zn_3,-0.0604169970855418
Zn_4,-0.08662818640812117
Zn_5,-0.09957565772537573
Zn_6,-0.07955563083752351
Cu_1,0.000677519617324283
Cu_2,0.0017240010492643716
Cu_3,0.003801182968174112
Cu_4,0.01310312803190638
Cu_5,0.023871469381954464
Cu_6,0.0353208324043196
Pb_1,0.012709876348273752
Pb_2,0.026312176330449938
Pb_3,0.045217480055104224
Pb_4,0.054786740523726736
Pb_5,0.05512762908891797
Pb_6,0.0641809652426422
