,yaiI
Cr_1,-0.0009225712452068293
Cr_2,-0.005260663704337525
Cr_3,-0.0020838187262284197
Cr_4,0.0018345762736628165
Cr_5,0.013387157968928049
Cr_6,0.02327019886371816
Fe_1,-0.01034741253901429
Fe_2,-0.0313452542807423
Fe_3,-0.062682605757568
Fe_4,-0.10922808999138353
Fe_5,-0.16061217460730354
Fe_6,-0.2148254238561617
Cd_1,0.00674584683582386
Cd_2,0.02193458446189013
Cd_3,0.03518539127618588
Cd_4,0.0484718373632782
Cd_5,0.06350316448999806
Cd_6,0.08058145177017426
Zn_1,-0.001364726243914708
Zn_2,-0.0021160984583883267
Zn_3,-0.01409646538432354
Zn_4,-0.012512087575110437
Zn_5,-0.021777027634681208
Zn_6,-0.0267430775358999
Cu_1,0.016016990900456017
Cu_2,0.022702088788193683
Cu_3,0.023644375963307915
Cu_4,0.02795101396007197
Cu_5,0.0294831631966957
Cu_6,0.032667321985869066
Pb_1,-0.0006966031659702718
Pb_2,-0.0066626502713309
Pb_3,-0.010993365076124912
Pb_4,-0.012311489358380941
Pb_5,-0.01270405867960883
Pb_6,-0.011553683678537005
