,rplY
Cr_1,0.00023865879779532667
Cr_2,-0.0003041853297272096
Cr_3,-0.0007453329864501588
Cr_4,0.0003269589730191618
Cr_5,0.0024583489611231498
Cr_6,0.0036226005354021156
Fe_1,0.004296270497293652
Fe_2,0.009114755110465009
Fe_3,0.015019127314068926
Fe_4,0.01644811024574229
Fe_5,0.01602947788607179
Fe_6,0.016379881878916147
Cd_1,0.0016224506418354419
Cd_2,0.003185857284423257
Cd_3,0.003594857669843332
Cd_4,0.0044450013070017344
Cd_5,0.003540012084521424
Cd_6,0.00544761573684056
Zn_1,-0.0037201028087946045
Zn_2,-0.0041604748376450704
Zn_3,-0.00368425812920249
Zn_4,3.8497120267210274e-05
Zn_5,0.0028800362421769056
Zn_6,0.007225874302074812
Cu_1,-0.001289487272965747
Cu_2,-0.002906103197883493
Cu_3,-0.002064086648060666
Cu_4,-0.0009772234702335
Cu_5,-0.0006826066246238862
Cu_6,-0.00033119134511430524
Pb_1,-0.0011049222774795818
Pb_2,-0.001258787820198797
Pb_3,-0.0045447322846408214
Pb_4,-0.006166022010690701
Pb_5,-0.002978792597510617
Pb_6,0.003759313692827958
