,yiaW
Cr_1,0.0033233538002576586
Cr_2,0.004627698968502052
Cr_3,0.007159290135366669
Cr_4,0.013441179592378366
Cr_5,0.01754451291818708
Cr_6,0.018807672219559597
Fe_1,-0.00884705115199205
Fe_2,-0.025763590002314898
Fe_3,-0.048850274836914134
Fe_4,-0.07558597147680095
Fe_5,-0.09518060668227504
Fe_6,-0.11304685845748247
Cd_1,0.0019037574489249212
Cd_2,0.005561378836506746
Cd_3,0.014257306621854638
Cd_4,0.021172319673863543
Cd_5,0.02160052189096929
Cd_6,0.02650015585095094
Zn_1,0.006299887078877069
Zn_2,0.011841219980201234
Zn_3,0.018129111416102017
Zn_4,0.02541840224019614
Zn_5,0.0327822924081948
Zn_6,0.035258738514535766
Cu_1,0.008502339678277
Cu_2,0.0170869247163641
Cu_3,0.03182566017043592
Cu_4,0.04104156668695908
Cu_5,0.049979233261155886
Cu_6,0.05763746154274069
Pb_1,0.001637165979840684
Pb_2,0.003129434414945136
Pb_3,0.01353905831615854
Pb_4,0.0220940756389102
Pb_5,0.030156788382211273
Pb_6,0.03717816099718238
