,yecH
Cr_1,0.002840907892405603
Cr_2,0.007300389217483843
Cr_3,0.013733021534640934
Cr_4,0.02098042160503657
Cr_5,0.026293733677423804
Cr_6,0.029398871113974826
Fe_1,0.004232065028887695
Fe_2,0.0031762877726715442
Fe_3,0.0044031427686800325
Fe_4,0.00011619167761134448
Fe_5,-0.006354528788572232
Fe_6,-0.015709632632589416
Cd_1,-0.0013606075043935122
Cd_2,-0.004161817391583727
Cd_3,-0.007066549359526213
Cd_4,-0.00774372040192913
Cd_5,-0.013625484788606763
Cd_6,-0.015512399137722526
Zn_1,-0.004517299189334499
Zn_2,-0.013080489822344048
Zn_3,-0.01855285633617737
Zn_4,-0.033719618946607334
Zn_5,-0.04757234283839307
Zn_6,-0.0541377076678408
Cu_1,-0.0006392358952190929
Cu_2,0.0014820094957882339
Cu_3,0.004045297859142797
Cu_4,0.006004970955426086
Cu_5,0.012282208066568332
Cu_6,0.019541662764999787
Pb_1,-0.003047387125444693
Pb_2,-0.0063504155065547034
Pb_3,-0.010183039784234604
Pb_4,-0.010978809451222862
Pb_5,-0.010090950782986337
Pb_6,-0.0073915909095015235
