,ygiD
Cr_1,0.002027954774167969
Cr_2,0.005335559575677655
Cr_3,0.01032887044861637
Cr_4,0.003378152503785109
Cr_5,0.0003451023557908241
Cr_6,-0.008376694317644335
Fe_1,-0.013623082844293196
Fe_2,-0.043191277143202624
Fe_3,-0.0593415076909762
Fe_4,-0.08320179245131308
Fe_5,-0.09509084931484332
Fe_6,-0.1116273733350954
Cd_1,0.002408551525168673
Cd_2,0.008338020660850922
Cd_3,0.011095749245264228
Cd_4,0.012134147185185571
Cd_5,0.010913161370837069
Cd_6,0.016197085311140492
Zn_1,0.014652980058685696
Zn_2,0.002390089620625311
Zn_3,-0.01098384211532204
Zn_4,-0.010158662462387159
Zn_5,-0.010524877477567841
Zn_6,-0.007790998203740314
Cu_1,0.005772306472511705
Cu_2,0.012304853394687528
Cu_3,0.013132729809734334
Cu_4,0.013856251678857606
Cu_5,0.021611993389409084
Cu_6,0.02697206392397434
Pb_1,-0.004633481348360717
Pb_2,0.0031191672320049
Pb_3,0.013564724398947509
Pb_4,0.027117259827484017
Pb_5,0.03437931596346098
Pb_6,0.043756303731356166
