,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A,rep19_idx,rep19_A,rep20_idx,rep20_A,rep21_idx,rep21_A
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,0.0,0.9599404041972648,3.0,0.0,-0.0347235277,1.0,0.9768310375,2.0,-0.9421075098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,-6.5408818456,0.6096788447134427,3.0,3.0,-7.1830918194,4.0,-6.4695428609,5.0,-5.9700108565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,-5.425854366966667,0.18759479713895602,3.0,6.0,-5.3002096987,7.0,-5.3358635115,8.0,-5.6414898907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,0.0,1.737521235724574,21.0,9.0,-0.8030290514,10.0,-0.24851379710000002,11.0,0.2314565727,12.0,-0.8906405962,13.0,0.0789101578,14.0,2.0414749449,15.0,0.7006782887,16.0,0.5389389552,17.0,0.7901605643,18.0,-5.9538541597,19.0,1.2927393772,20.0,-2.0778357282,21.0,0.379684381,22.0,1.2505143402,23.0,0.9753824215,24.0,-1.6565162515,25.0,0.46621825380000004,26.0,-0.1502840469,27.0,-0.2982244887,28.0,1.1546139335,29.0,2.1781259289
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,-9.632846379614287,1.9912891076622294,21.0,30.0,-10.977750972900001,31.0,-9.60325119,32.0,-9.9710697371,33.0,-11.4087164057,34.0,-5.0504111696,35.0,-10.8564012551,36.0,-7.9793856159,37.0,-10.1073064714,38.0,-11.2592450888,39.0,-12.0066463885,40.0,-13.1677563608,41.0,-9.5202466169,42.0,-8.6174186845,43.0,-10.6397906061,44.0,-10.983939532499999,45.0,-9.0662577966,46.0,-10.0049108561,47.0,-9.1879083976,48.0,-6.3059882962,49.0,-9.4577998224,50.0,-6.1175727072
5,WT_vs_Del_ccpA__THY_None_WT_exponential,-3.3333345343204236e-11,0.5181583355288268,3.0,51.0,-0.5890667620000001,52.0,0.38529858980000004,53.0,0.2037681721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,-5.22296491245,0.5156464119213129,4.0,54.0,-4.7273660647,55.0,-5.6203112459,56.0,-5.7133079879,57.0,-4.8308743513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,-1.3877787807814457e-17,0.7363785287732451,4.0,58.0,0.9752040535000001,59.0,-0.4156117458,60.0,-0.6959885182000001,61.0,0.1363962105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,-0.152545044625,0.5356598011007137,4.0,62.0,0.3774122056,63.0,-0.8223763983,64.0,0.1638500722,65.0,-0.329066058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,0.242621943475,0.24219829160729706,4.0,66.0,-0.1195408834,67.0,0.3713506851,68.0,0.3817141867,69.0,0.3369637855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WT_vs_Del_covR__THY_None_covS-T284A_late-exponential,-1.49345923275,0.32332322556324794,4.0,70.0,-1.8306034382,71.0,-1.7095657086,72.0,-1.2067755072,73.0,-1.226892277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WT_vs_Del_dahA__THY_None_WT_mid-exponential,1.6666631038238695e-11,0.9460155602125369,6.0,74.0,-0.9755294809,75.0,0.13350130600000001,76.0,0.1396334588,86.0,-1.216149594,88.0,0.6708944851,90.0,1.2476498250999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
