,pdxK
Cr_1,0.004029210208824371
Cr_2,0.011058778794220145
Cr_3,0.021804066005985348
Cr_4,0.025433642449494927
Cr_5,-0.007191143633157005
Cr_6,-0.031485038934303766
Fe_1,-0.042258035683045286
Fe_2,-0.09278990694851688
Fe_3,-0.14619193887980295
Fe_4,-0.18691301306233288
Fe_5,-0.22261108299080604
Fe_6,-0.246389056978716
Cd_1,0.0030470927060075297
Cd_2,0.008817111681430739
Cd_3,0.011146487816934572
Cd_4,0.009266594185562345
Cd_5,0.0042425476545080365
Cd_6,0.0074512052924726535
Zn_1,0.011494191430562692
Zn_2,-0.012998744185367507
Zn_3,-0.002512561239776489
Zn_4,0.03505968013349347
Zn_5,0.17412470928977514
Zn_6,0.06464636259451365
Cu_1,-0.0003830480219892556
Cu_2,0.0032420256845496
Cu_3,0.008194420698288239
Cu_4,0.010170644975418568
Cu_5,0.012109175352837185
Cu_6,0.02028630372146622
Pb_1,-0.0016139690333703087
Pb_2,-0.0007417389899436563
Pb_3,0.003468581986020877
Pb_4,0.009005400187612592
Pb_5,0.019243077786037982
Pb_6,0.023454807217918133
