,ynfB
Cr_1,-0.0035611732095819576
Cr_2,-0.006607726089465163
Cr_3,-0.007538549746991087
Cr_4,-0.0037629021781820063
Cr_5,-0.0024098944028510807
Cr_6,-0.003808151189304514
Fe_1,-0.016776426445860984
Fe_2,-0.04668081197409856
Fe_3,-0.06914150365857961
Fe_4,-0.0882029259119565
Fe_5,-0.09699450519556303
Fe_6,-0.08918605537346043
Cd_1,0.0013178712412016964
Cd_2,0.004768312249697558
Cd_3,0.009621544456476012
Cd_4,0.014376937745783375
Cd_5,0.011299331388513821
Cd_6,0.014463213889442163
Zn_1,-0.09705644620861084
Zn_2,-0.16574142328505526
Zn_3,-0.19662158836945906
Zn_4,-0.1831582893420062
Zn_5,-0.19064945179789264
Zn_6,-0.16703337849117944
Cu_1,0.006206147704821193
Cu_2,0.01459654811131514
Cu_3,0.020089089756360333
Cu_4,0.02743269892719733
Cu_5,0.03100009131477236
Cu_6,0.03716314449354256
Pb_1,-0.01210481024456276
Pb_2,-0.003395898942745976
Pb_3,0.015270430684769822
Pb_4,0.02075912763822511
Pb_5,0.029000623856246837
Pb_6,0.03730929429272512
