,eno
Cr_1,-0.0006341178757790408
Cr_2,0.001027399285525753
Cr_3,0.006170254887069045
Cr_4,0.005183776911697077
Cr_5,0.003459978137349433
Cr_6,0.0051762665050925465
Fe_1,-0.011657517133426349
Fe_2,-0.025315610183770217
Fe_3,-0.037288752895631744
Fe_4,-0.04838133141945868
Fe_5,-0.06677477313787522
Fe_6,-0.08534488654051821
Cd_1,0.01065949085153723
Cd_2,0.025023646682625
Cd_3,0.03125884744106902
Cd_4,0.0353936430177877
Cd_5,0.034759826034615124
Cd_6,0.047326677652056816
Zn_1,0.0010789711396697996
Zn_2,-5.537928065950964e-05
Zn_3,0.009368973616169349
Zn_4,0.024397531800348062
Zn_5,0.053032361624541606
Zn_6,0.0782273302697478
Cu_1,0.0031411466087577266
Cu_2,-0.002424618501054116
Cu_3,-0.003394259189758347
Cu_4,0.001802098286573041
Cu_5,0.002471379388051957
Cu_6,0.00372406181509017
Pb_1,0.00881684278468473
Pb_2,-0.008719208709740767
Pb_3,-0.0007310700265662466
Pb_4,0.02012673447086584
Pb_5,0.02646471138735557
Pb_6,0.031298383081222535
