,b4495_1
control__wt_glc__1,0.9991059630000001
control__wt_glc__2,1.3394756319
fur__wt_dpd__1,0.0
fur__wt_dpd__2,0.0
fur__wt_fe__1,0.0
fur__wt_fe__2,0.0
fur__delfur_dpd__1,0.0
fur__delfur_dpd__2,0.0
fur__delfur_fe2__1,0.0
fur__delfur_fe2__2,0.0
acid__wt_ph5__1,0.5858521224000001
acid__wt_ph5__2,0.0
acid__delgadx_ph5__1,0.0
acid__delgadx_ph5__2,0.0
acid__delgadw_ph5__1,0.5760244966
acid__delgadw_ph5__2,0.7109552443
acid__delgade_ph5__1,0.0
acid__delgade_ph5__2,0.0
oxidative__wt_pq__1,0.0
oxidative__wt_pq__2,0.0
oxidative__deloxyr_pq__1,0.0
oxidative__deloxyr_pq__2,0.0
oxidative__delsoxr_pq__1,0.0
oxidative__delsoxr_pq__2,0.0
oxidative__delsoxs_pq__1,0.7702342991000001
oxidative__delsoxs_pq__2,0.0
nac_ntrc__wt_csn__1,0.0
nac_ntrc__wt_csn__2,0.9325094118
nac_ntrc__wt_cytd__1,0.0
nac_ntrc__wt_cytd__2,0.0
nac_ntrc__wt_gln__1,0.0
nac_ntrc__wt_gln__2,0.0
nac_ntrc__bw_delnac_csn__1,0.7693726939000001
nac_ntrc__bw_delnac_csn__2,0.0
nac_ntrc__bw_delnac_cytd__1,0.0
nac_ntrc__bw_delnac_cytd__2,0.0
nac_ntrc__bw_delnac_gln__1,0.0
nac_ntrc__bw_delnac_gln__2,0.0
nac_ntrc__bw_delnac_nh4__1,2.0049422993
nac_ntrc__bw_delnac_nh4__2,2.338740273
misc__wt_no_te__1,0.0
misc__wt_no_te__2,0.0
misc__bw_delcbl__1,0.0
misc__bw_delcbl__2,0.0
misc__bw_delfabr__1,1.8012439645
misc__bw_delfabr__2,1.8018282399
misc__bw_delfadr__1,1.0439826346
misc__bw_delfadr__2,0.0
misc__nitr_031__1,0.0
omics__wt_glu__1,0.0
omics__wt_glu__2,0.0
omics__wt_gly__1,0.0
omics__wt_gly__2,0.0
omics__wt_thr__1,1.1356761093
omics__wt_thr__2,1.5519365754
omics__bw_ac__1,0.0
omics__bw_ac__2,1.7718157865
omics__bw_fum__1,2.1470697746
omics__bw_fum__2,0.0
omics__bw_glc__1,0.7970110303
omics__bw_glc__2,0.0
omics__bw_pyr__1,0.8833518248000001
omics__bw_pyr__2,0.0
ompr__wt_nacl__1,0.0
ompr__wt_nacl__2,0.0
ompr__bw_delompr_nacl__1,0.0
ompr__bw_delompr_nacl__2,0.0
minspan__wt_ade__1,0.0
minspan__wt_glc__1,2.7586136614
minspan__wt_glc__2,2.096056449
minspan__wt_glc__3,2.6855680898000003
minspan__wt_glc__4,2.9490564721
minspan__wt_glc_anaero__1,0.5061394124
minspan__wt_glc_anaero__2,0.0
minspan__wt_trp__1,1.4863015993
minspan__bw_delcra_glc__1,1.1564930315
minspan__bw_delcra_glc__2,0.8943540039000001
minspan__bw_delcra_trp__1,0.0
minspan__bw_delmntr__1,3.5592314532
minspan__bw_delnac_ade__1,1.4197369197
minspan__bw_delnac_glc__1,3.2545013209
cra_crp__wt_ac__1,0.0
cra_crp__wt_ac__2,0.6315302443
cra_crp__wt_fru__1,0.0
cra_crp__wt_fru__2,0.0
cra_crp__delcra_ac__1,0.0
cra_crp__delcra_ac__2,0.8606664144
cra_crp__delcra_fru__1,0.0
cra_crp__delcra_fru__2,0.0
cra_crp__delcra_glc__1,0.6948306037
cra_crp__delcra_glc__2,0.0
rpoB__wt_031__1,0.0
rpoB__wt_044__1,0.0
rpoB__wt_lb__1,0.0
rpoB__wt_lb__2,0.0
rpoB__rpoBE546V_031__1,0.0
rpoB__rpoBE546V_044__1,0.0
rpoB__rpoBE546V_lb__1,0.0
rpoB__rpoBE546V_lb__2,1.2462259734
rpoB__rpoBE546V_glc__1,0.0
rpoB__rpoBE672K_glc__1,0.0
rpoB__rpoBE672K_glc__2,0.0
rpoB__rpoBE672K_lb__1,0.0
rpoB__rpoBE672K_lb__2,0.0
crp__wt_fru__1,1.8516885725
crp__wt_glyc__1,1.2170791255
crp__wt_glyc__2,2.3109911536
crp__delar1_glyc__1,0.0
crp__delar1_glyc__2,0.0
crp__delar1ar2_glyc__1,0.0
crp__delar1ar2_glyc__2,0.0
crp__delar1ar2_glyc__3,0.0
crp__delar2_glyc__1,1.0398695745
crp__delar2_glyc__2,0.0
crp__delar2_glyc__3,0.0
crp__delcrp_fru__1,0.0
crp__delcrp_fru__2,0.0
crp__delcrp_fru__3,0.0
crp__delcrp_glc__1,0.0
crp__delcrp_glc__2,0.0
crp__delcrp_glc__3,0.0
crp__delcrp_glyc__1,0.0
crp__delcrp_glyc__2,0.0
crp__delcrp_glyc__3,0.0
glu__glu_ale3__1,1.8978792343
glu__glu_ale4__1,1.5400523657
glu__glu_ale5__1,1.4858476172000001
glu__glu_ale6__1,1.8364743196000002
glu__glu_ale8__1,1.292038097
glu__glu_ale9__1,0.0
glu__glu_ale10__1,0.0
42c__wt_42c__1,0.0
42c__42c_ale1__1,0.9901786637000001
42c__42c_ale2__1,2.3738791205
42c__42c_ale3__1,3.03880148
42c__42c_ale4__1,1.1251349662
42c__42c_ale5__1,3.6038419034
42c__42c_ale6__1,0.0
42c__42c_ale8__1,0.0
42c__42c_ale9__1,3.6636004473
42c__42c_ale10__1,1.3723039382
