,A,NarL
R2,,0.06060793892471927
xmin,,-3.0560450505
xmid,,-0.14610875928221392
xmax,,1.2829432885
ystart,,1.32710468622435
yend,,6.0087022525461515
ecoli_00001,-0.2279554774,0.0046058085
ecoli_00002,0.2279554774,-0.0046058085
ecoli_00003,1.320301328,0.7958407655
ecoli_00004,1.923438578,0.7809120795000001
ecoli_00005,3.3072892934,0.0860204375
ecoli_00006,3.3464461064,0.1956717155
ecoli_00007,1.5433123535000002,0.6368233545
ecoli_00008,1.3417212272999999,0.6053562415
ecoli_00009,0.6470221879,0.22929593850000002
ecoli_00010,0.7117981356,0.3102063565
ecoli_00011,3.6572292334,0.7226422635
ecoli_00012,3.7664777523,0.6039874685000001
ecoli_00014,4.883109312,0.7064404205
ecoli_00015,4.419422904,0.6671839155
ecoli_00016,4.4340694001,0.6889960855
ecoli_00017,4.3596789414,0.4548568885
ecoli_00018,4.2956559405,0.44526442450000003
ecoli_00019,1.2335548124,1.1253454755
ecoli_00020,1.4264521015,1.2190429045
ecoli_00021,1.4417726717,1.0256380375
ecoli_00022,1.4751384659,1.1128686855
ecoli_00023,0.6614762088,0.8344043915
ecoli_00024,0.8253330611,0.8354505565
ecoli_00025,1.0205715836,1.2055026185
ecoli_00026,2.263247556,1.1488311055
ecoli_00027,2.0184340779,-0.0734486025
ecoli_00028,1.7672210085,-0.1056086415
ecoli_00029,1.595090445,0.0931236545
ecoli_00030,1.5737524928000002,0.11562003450000001
ecoli_00031,3.7940427714,0.3107882125
ecoli_00032,3.7027156426000003,0.4495536755
ecoli_00033,1.6138600713,0.24024664550000002
ecoli_00034,1.5944314858,0.1500497735
ecoli_00035,0.9400988050000001,0.4465692275
ecoli_00036,0.865684717,0.46664448950000004
ecoli_00037,1.9660165248,0.6344954095
ecoli_00038,1.2664060986,0.6517965395
ecoli_00039,-0.0040892513,0.0492521515
ecoli_00040,0.3816534037,0.0915861905
ecoli_00041,0.5727749173000001,0.8055963485000001
ecoli_00042,1.4560854465,0.7341074955
ecoli_00043,0.0039466477,0.0352814555
ecoli_00044,-0.7252861149000001,0.0774423845
ecoli_00045,-1.5976340086,-0.1645777105
ecoli_00046,-0.5423988213000001,-0.3014689525
ecoli_00047,-0.9339981659000001,0.022761246500000002
ecoli_00048,-1.0945279947,0.0806304085
ecoli_00049,-0.1904771109,0.3691834525
ecoli_00050,3.0532443946,0.4817487815
ecoli_00051,2.1840764875,0.39338119250000003
ecoli_00052,1.1394195209,-0.050986039500000004
ecoli_00053,0.8746882156,-0.0231099835
ecoli_00054,13.5008537881,0.5990756295
ecoli_00055,14.4649109446,0.5218365345
ecoli_00056,-1.2391134800999999,-0.5340536035
ecoli_00057,-0.7604849874,-0.4149396495
ecoli_00058,-1.2692077637999999,-0.8381361135000001
ecoli_00059,-2.1496897715,-0.9121125335
ecoli_00060,0.16151668430000002,-0.3513240925
ecoli_00061,0.3043665943,-0.4675586545
ecoli_00062,-2.6945633649,-1.2049065185
ecoli_00063,-1.3874478336,-0.5649073275000001
ecoli_00064,0.533021917,0.5331391285
ecoli_00065,0.7449735723,0.5641948175
ecoli_00066,0.3759350027,0.0735496395
ecoli_00067,0.6558252233,0.0569492185
ecoli_00068,-1.3875592327000001,0.4253597615
ecoli_00070,0.7538676043,-0.1002218485
ecoli_00071,0.2276903339,-0.034828066500000004
ecoli_00072,-0.7193683578000001,-0.12163705150000001
ecoli_00073,4.8228693892,-0.1538379885
ecoli_00074,5.1912464469,-0.3679211925
ecoli_00075,5.1048744916,0.41213246950000004
ecoli_00077,6.9264800743,0.3630780825
ecoli_00078,3.8204306316,0.6441685145
ecoli_00079,8.6887182178,-0.10895602950000001
ecoli_00080,5.1899822099,0.0731933895
ecoli_00081,-0.7365370369,-0.1866494685
ecoli_00082,1.6714584795,0.10308692950000001
ecoli_00083,1.8902157726,0.1824106645
ecoli_00084,1.1295134623,0.2525159455
ecoli_00085,0.6922601514000001,0.17281035050000002
ecoli_00086,-2.0638498697,0.09591121550000001
ecoli_00087,-2.2156565862,-0.0514662735
ecoli_00088,0.2186352621,0.4381540525
ecoli_00089,0.23269369450000002,0.5490068335
ecoli_00090,1.0594518301,0.2574579395
ecoli_00091,0.6963909299000001,0.2698259865
ecoli_00092,0.1885748105,-0.34158132950000003
ecoli_00093,-0.09715390530000001,0.11219308750000001
ecoli_00094,1.5015104343,0.5881046485
ecoli_00095,2.5580674496,0.4456274495
ecoli_00096,-1.3025462837,-0.1044784755
ecoli_00097,0.14496603730000002,-0.08270643450000001
ecoli_00098,2.7585585647,0.39067970550000003
ecoli_00099,2.2899231627,0.44091671450000003
ecoli_00100,-1.358071473,-0.3587007085
ecoli_00101,-2.252041713,-0.8582225215
ecoli_00102,-2.4152799499,-0.6973849045
ecoli_00103,2.3970122176,0.1259900365
ecoli_00104,2.3611024907,0.1534925995
ecoli_00105,0.4302129015,-0.4725241865
ecoli_00106,-0.0535460945,-0.4338023085
ecoli_00107,1.3514206347,-0.4517896045
ecoli_00108,14.0892475489,0.7869022915
