,A,PP_0204
R2,,0.7028050242682975
xmin,,-3.331925805666667
xmid,,
xmax,,4.572666851333333
ystart,,-14.785935130153277
yend,,17.26318533314411
ALE:GalactoseA5:1.0,-7.269292289715696,-0.3648084310000001
ALE:GalactoseA5:2.0,-7.289796882193174,-0.7647540460000002
ALE:GalactoseA6:1.0,-3.5124909116204126,-0.4346996490000001
ALE:GalactoseA6:2.0,-3.203843322843996,-0.4693508200000003
ALE:GalactoseA8:1.0,-2.221946190908142,-0.1949059340000003
ALE:GalactoseA8:2.0,-2.726861555427292,-0.4938202070000002
ALE:IL_Control:1.0,0.7743295650025231,0.1813583349999996
ALE:IL_Control:2.0,3.4287553583291195,0.3456375669999998
ALE:IL_Control:3.0,-2.488757230922084,-0.345924675
ALE:IL_Control:4.0,-1.7143276919740145,-0.1810712270000003
ALE:IL_TEOH_OAc:1.0,0.8217180728839303,0.4357435139999994
ALE:IL_TEOH_OAc:2.0,3.159608160473065,1.0676671329999996
ALE:IL_TEA_HS:1.0,-1.3525344484599813,-0.4410186940000002
ALE:IL_TEA_HS:2.0,-1.1110832030696831,-0.2956987880000001
ALE:IL_Mixed:1.0,6.107796940652876,1.23193045
ALE:IL_Mixed:2.0,5.474974820206967,1.023413338
ALE:IL_PP5350:1.0,1.3420238766001071,0.2205854129999997
ALE:IL_PP5350:2.0,1.9764040323580463,0.6418625539999994
ALE:IL_T8:1.0,5.255100754781352,0.3709433080000002
ALE:IL_T8:2.0,5.38709400131097,0.3664580490000002
ALE:IL_T9:1.0,10.63597742145422,1.1410691709999998
ALE:IL_T9:2.0,8.248734397888938,1.025908233
ALE:IL_Control2:1.0,-0.2745214156151428,-0.0151149680000002
ALE:IL_Control2:2.0,1.2994484396481036,0.6655658849999995
ALE:IL_Glc+Ace:1.0,0.6950316884465182,0.5801629219999995
ALE:IL_Glc+Ace:2.0,-0.0335341862325256,0.0098933289999996
ALE:XyloseA1:1.0,-6.062528222278429,-0.4949063380000003
ALE:XyloseA1:2.0,-6.141705988715245,-0.223578179
ALE:XyloseA2:1.0,-7.257696962018424,-0.0663151960000001
ALE:XyloseA2:2.0,-6.034212806835497,-0.431719165
ALE:XyloseA3:1.0,-6.864406956042238,-0.3274131410000001
ALE:XyloseA3:2.0,-6.646587568820723,-0.7452630940000002
ALE:XyloseA4:1.0,-5.756977609788732,-0.2256349130000003
ALE:XyloseA4:2.0,-5.358272934848726,-0.4650698440000003
Aromatic:Coumarate:1.0,-5.044692126078018,1.3819188456666671
Aromatic:Coumarate:2.0,-6.297993414492795,1.190521869666667
Aromatic:Coumarate:3.0,-7.150023861483398,0.3189732826666667
Aromatic:Coumarate+ferulate:1.0,2.277607945716172,2.738599508666667
Aromatic:Coumarate+ferulate:2.0,-0.5600747582432699,2.374586188666667
Aromatic:Coumarate+ferulate:3.0,-2.864711554866669,2.3809250176666668
Aromatic:Ferulate:1.0,-12.288162254555331,-0.0242841143333327
Aromatic:Ferulate:2.0,-12.043286234013106,-0.6311377883333327
Aromatic:Ferulate:3.0,-11.133122709793806,-1.085622486333333
Aromatic:Glucose:1.0,0.8815631706401073,0.1143975946666673
