,A,PyrR
R2,,0.030334283628996817
xmin,,-4.7247429653
xmid,,-1.5807956065930098
xmax,,2.4134474025
ystart,,-0.7391373997642559
yend,,2.339868954056568
SRX1125282,0.45009863990000004,0.1220666843
SRX1125283,-0.2003862491,-0.2246450032
SRX1125284,-0.2181623199,-0.1285829862
SRX1125285,-0.1450202016,-0.3250217047
SRX1125286,0.4483950974,-0.6416290950000001
SRX1125287,-0.26178140110000003,-0.7276950761000001
SRX1125288,0.0882579124,-0.2354183049
SRX1125289,-0.2343277407,0.0802785017
SRX1125290,-0.1828174051,-0.1922862058
SRX1125291,-0.48506929120000003,-0.2110185561
SRX1125292,-0.5153891747,-0.1904768104
SRX1125293,0.8661118886,-0.014743166700000001
SRX1125294,-0.5383565523,0.11335162060000001
SRX1125295,-0.2736916702,-0.1912742254
SRX1125296,-0.088549559,-0.2067115441
SRX1125297,-0.26980587980000004,-0.41749947200000004
SRX1125298,0.2920940161,-0.2259754046
SRX1125299,0.4339940624,-0.1779608051
SRX5694250,-0.3158186351,-0.1778657159
SRX5694251,-2.4595963754,-1.1739342296
SRX5694252,-1.5793103739,-0.8476394420000001
SRX5694253,0.4775461763,0.09929088400000001
SRX5694254,-0.9534902989,-0.3013394929
SRX5694255,-2.3048893425,-2.9708311118
SRX5694256,0.2308140217,-0.035039670200000005
SRX5694257,-0.8482803799,0.8600279669
SRX5694258,-2.1578652027,0.6853299785
SRX5694259,-4.8493464745,-2.1717014935
SRX5694260,-0.7348967568,0.15456109
SRX5694261,0.1709463813,-0.37082999110000003
SRX5694262,0.24184091800000002,-2.4807689528
SRX5694263,0.7217886052,0.182227556
SRX5694264,-8.9390111149,0.3075670561
SRX5694265,0.5957626926,-0.1059366672
SRX5694267,0.7104686368,0.15679671010000001
SRX5694268,0.6983703124,0.1792043691
SRX5694269,0.2402886558,0.33530546440000003
SRX5694271,-8.3082002893,0.6432320306
SRX5694273,0.061847126700000005,-0.9145801413
SRX5694274,-2.8007804441,0.1433599257
SRX5694275,1.2936357897000001,-0.3122628262
SRX5694276,0.4744824073,-0.32385938470000003
SRX5694277,-0.5101213976,0.5028380288000001
SRX5694278,0.8951068036000001,0.22584482520000002
SRX5694279,-6.0702477068,0.2124219461
SRX5694280,-0.8946845480000001,-0.0972932089
SRX5694281,-4.6002387746,0.5261241069
SRX5694282,0.7205321482,-1.5109655916
SRX5694283,0.8226295864000001,-0.4341735178
SRX5694284,0.7856122142,-0.0768866795
SRX5694285,0.5840003013,0.3283489647
SRX5694286,1.0892608484,-0.1634377568
SRX5694287,0.1599727121,0.3800911766
SRX5694288,-6.0309079047,0.23922507280000002
SRX5694289,0.075241972,0.1400619223
SRX5694290,-8.4387894963,0.13201402140000001
SRX5694291,-2.322696438,-3.2120541080000002
SRX5694292,-3.2678067305000003,0.5368304923
SRX5694293,-8.8900133927,0.4316952075
SRX5694294,-6.1040221346,0.5020342207
SRX5694295,-2.9615657475,-0.0356308067
SRX5694296,-0.19422984470000002,0.5239637437
SRX5694297,-1.8023627733,-1.7560473716
SRX5694298,0.2205264419,0.3482842892
SRX5694299,-0.2868727131,0.1066632176
SRX5694300,0.9417201002000001,-0.8833293162
SRX5694301,-3.450856292,0.5169097508
SRX5694302,-0.7967741731,0.0778319984
SRX5694303,-0.36248095550000003,0.064133544
SRX5694304,0.5442479585000001,-0.7043901035
SRX5694305,-2.9324144262000003,-1.0559818515
SRX5694306,0.6597804148,-0.4767854247
SRX5694307,-0.3247173058,-1.3937036311
SRX5694308,-4.2495079308,-0.0535699298
SRX5694309,-1.3191846485,-1.0097897696
SRX5694310,-0.6021591724,-1.2777544419
SRX5694311,-1.3592234068,-1.5515924313
SRX5694312,0.7982754384,-2.0857612867
SRX5694313,-2.0881363410000002,0.2239435555
SRX5694315,0.8606788816000001,-0.1637590627
SRX5694317,2.0571517082,0.6849408895
SRX5694319,-4.0928945942,0.2029728441
SRX5694320,-2.4055043199,-2.7218518907
SRX5694321,-0.8325401626000001,-0.4504813374
SRX5694322,-1.0236042338,-1.4934992582
SRX5694323,-0.21843151930000002,-0.1057509219
SRX5694324,-1.1850881932,-0.5653786224
SRX5694325,-3.6655072825,-0.5329639586
SRX5694326,1.1655404675,-0.040172823
SRX5694327,-0.7463128316000001,-0.7454505974000001
SRX5694328,-7.0912815123,0.2537938167
SRX5694329,-0.0937129241,0.11933807880000001
SRX5694330,-0.7266136605,-0.43739608700000004
SRX5694331,-8.4438589927,0.6392520099
SRX5694332,-0.027152715600000002,-0.0302328405
SRX5694334,-5.2069346987,-0.3421009642
SRX5694335,-2.9406916163,-0.6008477504
SRX5694336,0.6722044387,-0.7570746493
SRX5694337,-0.3798621162,-0.12011070330000001
SRX5694338,-0.6859415101,0.4567872632
SRX5694339,-3.082175224,0.3188372255
