,gadW
Cr_1,-0.014579584103582066
Cr_2,-0.021911306298549257
Cr_3,-0.02618962672178188
Cr_4,-0.026570098278841697
Cr_5,-0.028088180742544704
Cr_6,-0.034998768826972865
Fe_1,-0.009981634705570477
Fe_2,-0.03708560939186845
Fe_3,-0.06500381611621803
Fe_4,-0.09470513844089502
Fe_5,-0.11600078126381586
Fe_6,-0.1298154592260086
Cd_1,-0.0011848169449963232
Cd_2,-0.0013675120435911342
Cd_3,0.00025327356558210425
Cd_4,0.003914269129950029
Cd_5,0.0026909675971980764
Cd_6,0.008674091217793266
Zn_1,-0.0007631717867517768
Zn_2,0.004357590474421364
Zn_3,0.02041085393717616
Zn_4,0.040023977305221566
Zn_5,0.06429779536541351
Zn_6,0.08598318424943872
Cu_1,0.005997818047913572
Cu_2,0.010612644349884398
Cu_3,0.017010163634296492
Cu_4,0.019741286551454944
Cu_5,0.02510044670697477
Cu_6,0.03819658341758317
Pb_1,0.005786599894198903
Pb_2,0.007963716836718105
Pb_3,0.014635515308677068
Pb_4,0.01746804334761354
Pb_5,0.01783592221314301
Pb_6,0.020867430985652986
