,infA
Cr_1,-2.177117217030322e-05
Cr_2,0.001668490692053716
Cr_3,0.003028245603554287
Cr_4,0.003044173694834094
Cr_5,0.004260953698125456
Cr_6,0.004953432336458278
Fe_1,-0.003065942173464729
Fe_2,-0.00801795671711731
Fe_3,-0.007538790953505167
Fe_4,-0.0049561223393598105
Fe_5,0.0012840776440287164
Fe_6,0.01057336569231173
Cd_1,0.0003987041750005215
Cd_2,0.0016370099109494546
Cd_3,0.0022260769926139637
Cd_4,0.003415314690723019
Cd_5,0.003014077401570976
Cd_6,0.0063439596652095824
Zn_1,0.000997091330639993
Zn_2,0.0026151635213023084
Zn_3,0.012327727192555309
Zn_4,0.020701892883008704
Zn_5,0.029168474818543007
Zn_6,0.038862100588164236
Cu_1,0.002142550150812013
Cu_2,0.006120598472532929
Cu_3,0.011722943778986762
Cu_4,0.016758690181053974
Cu_5,0.022967818086427026
Cu_6,0.028535849687698917
Pb_1,0.006207999177588028
Pb_2,0.011803627210037134
Pb_3,0.018334932005304786
Pb_4,0.022940353440923232
Pb_5,0.024469629834554345
Pb_6,0.029839970075522488
