,polA
Cr_1,0.006603793699429658
Cr_2,0.008602434425201505
Cr_3,0.008443226643346272
Cr_4,0.001794670211586136
Cr_5,0.0010741707732901805
Cr_6,0.0037081704490987345
Fe_1,-0.013855430900885979
Fe_2,-0.026975870339106364
Fe_3,-0.028297153984226976
Fe_4,-0.0270541750981834
Fe_5,-0.025589303616622632
Fe_6,-0.025193705277297484
Cd_1,0.0019015083344107839
Cd_2,0.006074454445080572
Cd_3,0.008170750069054652
Cd_4,0.009801987186858045
Cd_5,0.013275510128483851
Cd_6,0.01694998649520459
Zn_1,-0.04288455933335334
Zn_2,-0.04965021780202122
Zn_3,-0.049350627873165694
Zn_4,-0.053618277191742884
Zn_5,-0.07963408005629373
Zn_6,-0.09043213191092668
Cu_1,0.0009679852389148484
Cu_2,0.0019330215868636504
Cu_3,-0.0011746483653309108
Cu_4,-0.006637404331106191
Cu_5,-0.012182294888083957
Cu_6,-0.01768361251978431
Pb_1,0.0009122663429468793
Pb_2,0.007804799013745595
Pb_3,0.014103576613432124
Pb_4,0.015121800306414404
Pb_5,0.014759066066158937
Pb_6,0.01658378522594613
