,prpR
Cr_1,0.002262797176729803
Cr_2,0.0021296384553709915
Cr_3,-0.0023671130982317306
Cr_4,-0.0025987245415954718
Cr_5,-0.0002474934657429422
Cr_6,-0.015924772459847854
Fe_1,-0.030733907084953587
Fe_2,-0.07322835857413984
Fe_3,-0.12584082403262067
Fe_4,-0.18732420440412886
Fe_5,-0.2514161348612302
Fe_6,-0.3127896521576406
Cd_1,0.01413396892106595
Cd_2,0.02765323731804219
Cd_3,0.04072345913795791
Cd_4,0.050279034850770864
Cd_5,0.057572092628832325
Cd_6,0.06883285822006015
Zn_1,-0.009336084801500659
Zn_2,-0.010634124709957794
Zn_3,-0.010379007555236276
Zn_4,-0.021476485124331732
Zn_5,-0.025229963697597925
Zn_6,-0.030834505895166644
Cu_1,0.035487345743905885
Cu_2,0.10670367074866813
Cu_3,0.2158598577419512
Cu_4,0.35304258470600564
Cu_5,0.5416006585427775
Cu_6,1.0982550254059322
Pb_1,0.004556447050823072
Pb_2,0.0178937234452565
Pb_3,0.0361799215596177
Pb_4,0.05647814408413032
Pb_5,0.07822282026628045
Pb_6,0.09913276717785964
