,phoH
Cr_1,-0.0020086197125215575
Cr_2,-0.0027555235605837627
Cr_3,-0.002289588786353806
Cr_4,-0.0019131229465182509
Cr_5,-0.0026116335267491737
Cr_6,-0.00249302938441176
Fe_1,0.0003749970423896614
Fe_2,0.01206997001953717
Fe_3,0.029892793446300542
Fe_4,0.05144724719133442
Fe_5,0.07468952165332336
Fe_6,0.09711220457348396
Cd_1,0.011347644322976963
Cd_2,0.021454499644231847
Cd_3,0.02959623589027585
Cd_4,0.03775354017800938
Cd_5,0.04471097216219037
Cd_6,0.05202902577467428
Zn_1,0.0032717502142576324
Zn_2,0.010529979203415656
Zn_3,0.01953825989999626
Zn_4,0.02565893617459094
Zn_5,0.022607453086097868
Zn_6,0.020069781890052124
Cu_1,0.010776154587599656
Cu_2,0.03089895755093818
Cu_3,0.0507053576869981
Cu_4,0.06793220037779231
Cu_5,0.08100934436129778
Cu_6,0.09208169536679538
Pb_1,0.006521425565580538
Pb_2,0.014197963510823532
Pb_3,0.02576779812175277
Pb_4,0.037467106035561776
Pb_5,0.04415983071090137
Pb_6,0.05343881760067959
