,yobF
Cr_1,0.0030543246626920802
Cr_2,0.006405183927589611
Cr_3,0.011829731978906764
Cr_4,0.01610574345784854
Cr_5,0.022526506711821225
Cr_6,0.028210509016683424
Fe_1,-0.007985301958300077
Fe_2,-0.021909533572322552
Fe_3,-0.03864675475831482
Fe_4,-0.05854278635797711
Fe_5,-0.07481180411658289
Fe_6,-0.0847710415445482
Cd_1,0.0012313293139842164
Cd_2,0.002403002540565597
Cd_3,0.005925250981947612
Cd_4,0.00905700898557998
Cd_5,0.008590149355927432
Cd_6,0.014280057229176944
Zn_1,-0.004169463648850035
Zn_2,0.007050441713824673
Zn_3,0.0274788367173292
Zn_4,0.061487206039691884
Zn_5,0.09562938331644633
Zn_6,0.12102910238069853
Cu_1,0.006577371014926323
Cu_2,0.006871603409339043
Cu_3,0.011852719996374122
Cu_4,0.02462427176771876
Cu_5,0.04165230154830675
Cu_6,0.05009942116168712
Pb_1,0.0032408524637966485
Pb_2,0.004534570320383242
Pb_3,0.002287408289209643
Pb_4,0.010878408116699214
Pb_5,0.011248417511538877
Pb_6,0.016458984864802816
