,A,EvgA
R2,,0.06548284744432087
xmin,,-8.060500858
xmid,,
xmax,,1.909648690000001
ystart,,-2.723820500852118
yend,,3.8050581508307806
control__wt_glc__1,0.0161732754315358,-0.11207400099999898
control__wt_glc__2,-0.0161732754315446,0.11207400099999988
fur__wt_dpd__1,0.2984311349569375,-2.177454009
fur__wt_dpd__2,0.2637859903871774,-2.460791265
fur__wt_fe__1,1.251582687536258,-0.3549795229999989
fur__wt_fe__2,1.2110285076269995,-0.5279976409999989
fur__delfur_dpd__1,1.0557738861345105,-1.870219215
fur__delfur_dpd__2,0.9393100536135462,-1.7922865089999993
fur__delfur_fe2__1,1.3714933731834065,-0.6362041509999985
fur__delfur_fe2__2,1.054391895777265,-0.5321867249999999
acid__wt_ph5__1,20.187724529974343,-0.8455003289999992
acid__wt_ph5__2,20.48744128362805,-0.8772337329999988
acid__delgadx_ph5__2,22.281923122763704,-0.8825797149999994
acid__delgadw_ph5__1,21.785064927303992,-0.8594751969999992
acid__delgadw_ph5__2,21.493027446932917,-0.7109656559999991
acid__delgade_ph5__1,21.26738789996442,-0.67596832
acid__delgade_ph5__2,21.153959261879628,-0.7113910419999989
oxidative__wt_pq__1,0.1646278952537552,-1.755731214
oxidative__wt_pq__2,0.2571232730879334,-1.8189532219999995
oxidative__deloxyr_pq__1,-0.6910080359832963,-0.8185398569999993
oxidative__deloxyr_pq__2,-0.4968280569034075,-0.9945435059999984
oxidative__delsoxr_pq__1,0.8129053842735462,-2.026502021999999
oxidative__delsoxr_pq__2,0.6715264846611345,-2.233917925
oxidative__delsoxs_pq__1,1.0399653561780289,-1.8132435509999985
oxidative__delsoxs_pq__2,0.1712036811257671,-1.9043860369999992
nac_ntrc__wt_csn__1,1.1629523427210473,-2.010467026999999
nac_ntrc__wt_csn__2,1.5928586660014183,-1.7735565929999997
nac_ntrc__wt_cytd__1,0.982144112577532,-1.43680479
nac_ntrc__wt_cytd__2,1.9701705649831924,-1.4352232909999991
nac_ntrc__wt_gln__1,3.1507912913788902,-0.9536022659999991
nac_ntrc__wt_gln__2,2.278638332876471,-1.0764025019999988
nac_ntrc__bw_delnac_csn__1,3.1105893342011743,-2.0503024409999986
nac_ntrc__bw_delnac_csn__2,-1.068563505488223,-2.950451001
nac_ntrc__bw_delnac_cytd__1,1.3794639953615788,-0.9728272129999996
nac_ntrc__bw_delnac_cytd__2,1.34213607086218,-0.9716918819999992
nac_ntrc__bw_delnac_gln__1,0.6464977787109174,-0.5312020989999997
nac_ntrc__bw_delnac_gln__2,0.8263436685547755,-0.4067322639999995
nac_ntrc__bw_delnac_nh4__1,0.9165538826983188,-0.5553144209999985
nac_ntrc__bw_delnac_nh4__2,1.1353128183067032,-0.7736010559999986
misc__wt_no_te__1,2.2111170564770197,-0.7354133959999984
misc__wt_no_te__2,0.8151098342785429,-0.4165790769999989
misc__bw_delcbl__1,0.8920810895382785,-1.800175435999999
misc__bw_delcbl__2,0.7950395762832446,-1.5126356639999994
misc__bw_delfabr__1,-0.7400678862394594,-1.8208754589999991
misc__bw_delfabr__2,-0.3892816210730304,-1.972461125
misc__bw_delfadr__1,0.8019474157225672,-1.2350537359999985
misc__bw_delfadr__2,1.336783175789817,-1.0776381949999996
misc__nitr_031__1,0.0192070668569706,-1.6892310029999988
omics__wt_glu__1,-0.5132212794708603,0.3229752820000016
omics__wt_glu__2,-0.8236857950263162,0.17655248900000053
omics__wt_gly__1,-1.552697341542402,-0.09283722399999927
omics__wt_gly__2,-1.3258208634960438,-0.012765090999998565
omics__wt_thr__1,4.444765625929292,-0.04879444899999896
