,adk
Cr_1,-0.004191019133772453
Cr_2,-0.0022511740258164105
Cr_3,-0.0010305217026447746
Cr_4,0.002673143987237152
Cr_5,0.0056854729822883926
Cr_6,0.009333196343933228
Fe_1,-0.017071224064623053
Fe_2,-0.04593694978969815
Fe_3,-0.07669547235598292
Fe_4,-0.1005970025193193
Fe_5,-0.11008179377874104
Fe_6,-0.11181571259565347
Cd_1,0.002132556879228848
Cd_2,0.006930181165673923
Cd_3,0.011922338946428057
Cd_4,0.017494839381534004
Cd_5,0.018185842427030904
Cd_6,0.022813073456934698
Zn_1,0.010005856972493548
Zn_2,0.01543725969570798
Zn_3,0.009779608100444152
Zn_4,0.01556364153966686
Zn_5,0.019857488048197213
Zn_6,0.03288742227886598
Cu_1,-0.00211604624398256
Cu_2,0.0014079948176734618
Cu_3,0.003510685806675849
Cu_4,0.004946410366617947
Cu_5,0.0056594878298912065
Cu_6,0.011872000938960944
Pb_1,0.007716659432828356
Pb_2,0.009933957957883745
Pb_3,0.02777558472864336
Pb_4,0.0388111740810304
Pb_5,0.052704087503562765
Pb_6,0.06652935364977132
