,A,WalR
R2,,0.0
xmin,,-2.619484419653336
xmid,,
xmax,,2.086110731029189
ystart,,-0.5310262150724836
yend,,-0.5310262150724836
amb:ctrl:1,-1.1769107997218002,-0.1035328115183276
amb:ctrl:2,2.1071155274815285,-0.1209930884087802
amb:ctrl:3,-0.9302047277597136,0.22452589992710514
amb:amb:1,-1.2270150626628422,-0.16904926034780754
amb:amb:2,-1.8168930358848538,0.2728376837375146
amb:amb:3,-3.8848575830323364,0.6342622429428237
ave1:ctrl_5m:1,-0.28622649876647444,-0.006143345265582134
ave1:vdave1_5m:1,-11.272701231971755,-0.18833454720648035
ave1:ctrl_20m:1,-0.6981011414786477,0.18297374417177714
ave1:vdave1_20m:1,2.9431479300644456,0.0313241832270279
ave1:supernatant_5m:1,-0.9259587074925416,-0.06367312755416066
ave1:vnave1_20m:1,0.08996266476164358,0.20459870237455569
ave1:supernatant_20m:1,-0.5096564925431961,0.022788569310581156
ave1:ctrl_5m:2,0.286226498766467,0.006143345265582134
ave1:vdave1_5m:2,-13.644632920084208,-0.0728989697053235
ave1:ctrl_20m:2,-0.15491071005035628,0.053218999428259466
ave1:vdave1_20m:2,3.5763962220378818,0.1833602685621125
ave1:supernatant_5m:2,1.726232653517452,0.13766201164429948
ave1:vnave1_20m:2,0.5370533475254025,0.08312262702976714
ave1:supernatant_20m:2,-0.9151200360931692,0.033633859427237844
biofilm_time:8h:1,0.920161944034835,0.05072737033298047
biofilm_time:8h:2,-0.13334383949601922,-0.03700503021073942
biofilm_time:8h:3,-0.4160748609185002,-0.036092014996294886
biofilm_time:8h:4,-0.37074324362032174,0.02236967487405206
biofilm_time:12h:1,-5.44726208539482,-0.3054706654203949
biofilm_time:12h:2,-3.6819923743644827,-0.5049662990151598
biofilm_time:12h:3,-3.942298638937496,-0.3780941984647104
biofilm_time:12h:4,-4.758683728742826,-0.5174898434442499
biofilm_time:16h:1,-2.50002968937286,-0.22304527043870606
biofilm_time:16h:2,-1.9640217827723458,-0.4518467905575969
biofilm_time:16h:3,-5.086135507636009,-0.2688066025440108
biofilm_time:16h:4,-5.3161770088493405,-0.17695500324423466
biofilm_time:20h:1,-2.7771819136970795,-0.0006124156788542834
biofilm_time:20h:2,-2.2910273498935303,-0.34783707906657924
biofilm_time:20h:3,-3.1384492939723283,0.13689039048480467
biofilm_time:20h:4,-1.5818690151736428,-0.20963139112518456
biofilm_time:24h:1,-2.298686404800236,-0.2802006929570497
biofilm_time:24h:2,-0.9938306926746036,-0.1619947963634445
biofilm_time:24h:3,-0.5676492990646638,-0.4497084823838096
biofilm_time:24h:4,-1.6346977213761789,-0.4052828021306221
biofilm_time:28h:1,-3.9250823243527946,0.4679672416400464
biofilm_time:28h:2,-1.7369377126193288,-0.10730501711999453
biofilm_time:28h:3,-1.0851272807014938,-0.22385892251659006
biofilm_time:28h:4,-1.9122460190993031,-0.06184619795671509
biofilm_time:32h:1,-0.009754221566478295,-0.2822026845968466
biofilm_time:32h:2,-1.4111673219079832,0.01154986107782463
biofilm_time:32h:3,-2.1639018399981507,0.32006170674097056
biofilm_time:32h:4,-1.097442051572237,0.13741200238796747
codY:wt:1,-0.031967826108287314,0.2179855767194816
codY:wt:2,0.03196782610827291,-0.2179855767194807
codY:ctrl:1,0.5435666555929803,0.2480651744539664
codY:ctrl:2,1.216160360600848,-0.1570335537290255
codY:codYR61K:1,0.8557422113306691,0.3604663056057973
codY:codYR61K:2,-0.2104360469773659,-0.17829286012248868
codY:codYR61H:1,0.2944969956480298,0.2301030762280103
codY:codYR61H:2,-0.1305350940707618,-0.3340321713185261
codY:codYF71Y:1,-0.4509689696761358,-0.31832070785983024
codY:codYF71Y:2,-0.6406858080079286,-0.1357258408295534
decay:wt:1,-0.27198293786889705,0.276906985099143
decay:wt:2,0.2671023119722057,-0.06609743457085404
decay:wt:3,0.004880625896682473,-0.21080955052828895
decay:delpnpA:1,4.543061826165166,0.2031928779052139
decay:delpnpA:2,5.182319809048955,0.17157699567231788
decay:delpnpA:3,5.016934066873244,0.11839294442050365
ecm_tasA:deltasA:1,-0.7207627985794991,0.2336284592853941
ecm_tasA:deltasA:2,-0.1167050757378472,0.113067239373434
ecm_tasA:deltasA:3,-0.8407771738081564,0.23915625356282444
ecm_tasA:delcssRS:1,3.87327373682433,-0.06978980548986867
ecm_tasA:delcssRS:2,1.6540507940163556,-0.224237431353683
ecm_tasA:delcssRS:3,2.2611460416934466,0.12187486509805455
ecm_tasA:wt:1,0.1624645179535273,-0.07776945389873102
ecm_tasA:wt:2,-0.16246451795351796,0.07776945389873191
heatshock:wt_37C:1,0.312305067636596,-0.057967276851515585
heatshock:wt_37C:2,0.17421978503105934,-0.05801475451481153
heatshock:wt_37C:3,-0.4865248526676541,0.11598203136632534
heatshock:wt_48C:1,14.320520170514596,-0.23461316176284
heatshock:wt_48C:2,13.045878224608176,-0.20236162893203868
heatshock:wt_48C:3,9.734243809452623,0.15918759354154233
heatshock:wt_53C:1,-11.616683051429806,0.016318016107412348
heatshock:wt_53C:2,-12.273474493671047,-0.5168860430600635
heatshock:wt_48_53C:1,6.45557617145516,-0.2085351633402084
heatshock:wt_48_53C:2,2.5462529584858498,0.3251724498277833
heatshock:wt_48_53C:3,0.6312618591990088,0.5429558683859224
heatshock:delrelA_37C:1,-2.7584116144814512,-0.4443890389439869
heatshock:delrelA_37C:2,-1.6169121173244942,-0.1880936924561265
heatshock:delrelA_48C:1,10.69312040825456,0.03885037419854509
heatshock:delrelA_48C:2,9.68402984668601,-0.012811227024497995
heatshock:delrelA_48C:3,3.216571938079184,-1.0598571758461863
heatshock:ppGpp_null_37C:1,-0.6459046557136819,0.004373062510998338
heatshock:ppGpp_null_37C:2,-0.9634315588466752,0.27527885227574345
heatshock:ppGpp_null_37C:3,-0.15448652749513028,0.07285796622413887
heatshock:ppGpp_null_48C:1,10.323999641815284,0.22796866395696824
heatshock:ppGpp_null_48C:2,7.024365396226554,0.03654080968419038
heatshock:ppGpp_null_48C:3,8.22521932217289,-0.0245136084302926
ldar:yfiJKplus:1,-8.153020641487949,-0.7075422710077293
ldar:yfiJKplus:2,-11.944761826580653,-0.8814472643961997
ldar:yfiJ_A152E:1,-11.438158705608062,-0.6562619527932343
ldar:yfiJ_A152E:2,-11.109052099646128,-0.7033221234799303
ldar:wt:1,0.3097527437284949,-0.0030088967933501465
ldar:wt:2,0.11918716439562105,-0.03779601997694471
ldar:wt:3,-0.4289399081241187,0.04080491677029308
mk7:shake:1,0.739391698707152,0.14854854262626827
mk7:shake:2,1.0433272808387826,0.2946280391173026
mk7:shake:3,-1.1547949882475108,-0.304213764648007
mk7:shake:4,-0.6279239912984259,-0.13896281709556124
mk7:static:1,9.180683205357047,-1.9180500510820648
mk7:static:2,9.587924725224246,-1.7952439227842234
mk7:static:3,8.072297659692289,-2.087526406880275
mk7:static:4,8.315039114742843,-1.9609773068424212
nusA:nusA_induced:1,-1.1948691381156085,-0.4501082275023336
nusA:nusA_induced:2,-1.6167877494945757,-0.4445184103935009
nusA:nusA_induced:3,-2.361701306522489,-0.25619814040640243
nusA:nusA_induced:4,-4.142840463257556,-0.4264359025884437
nusA:nusA_induced:5,-4.039835809895323,-0.7406155638025655
nusA:nusA_induced:6,-5.393118215873552,-0.9411040753599416
nusA:no_nusA:1,0.4578893963733388,0.12680595739197287
nusA:no_nusA:2,0.4775671946263312,0.1457375053149894
nusA:no_nusA:3,-1.0547772668887034,0.11935352982270153
nusA:no_nusA:4,0.9057756356059294,-0.017420833792233026
nusA:no_nusA:5,-0.4484663235923561,-0.2398728979931679
nusA:no_nusA:6,-0.3379886361245517,-0.13460326074425846
pamR:wt_exp:1,-2.4569797977886108,0.33814935970393023
pamR:wt_exp:2,2.456979797788621,-0.3381493597039293
pamR:delydhC_exp:1,-2.817752337001798,-1.025706960705464
pamR:delydhC_exp:2,3.3632521361098537,-0.1644821757359436
pamR:delydhC_exp:3,2.9246651967843325,-0.439507535102738
pamR:wt_stat:1,-15.211927559783973,-1.4439550808274104
pamR:wt_stat:2,-12.567716718919785,-1.9625175822402945
pamR:wt_stat:3,-11.089191825125738,-2.3297536433801094
pamR:delydhC_stat:1,-11.232884628122747,-2.619484419653336
pamR:delydhC_stat:2,-10.967605101688626,-2.5499646357363113
rho_strains:ncib3610:1,-0.7544352947298332,-0.03255144054428172
rho_strains:ncib3610:2,0.7544352947298404,0.032551440544282606
rho_strains:ncib3610_delrho:1,-3.735999850265359,0.683849414027196
rho_strains:ncib3610_delrho:2,-4.381288785690112,0.4544739480408637
rnase_j1:delrnjA:1,5.754022120519637,0.08184935614532217
rnase_j1:delrnjA:2,3.040408513949367,-0.0040466477210134855
rnase_j1:delrnjA:3,2.7519120803995865,-0.09424727689789236
rnase_j1:wt:1,-0.6151657773776652,-0.08228078818547857
rnase_j1:wt:2,-0.008389284644678235,-0.14672459685006078
rnase_j1:wt:3,0.6235550620223469,0.229005385035542
sigI:delrsgI_37C:1,1.108897863959492,-0.09475777219932713
sigI:delrsgI_37C:2,0.654551266525386,0.5543883779232228
sigI:delrsgI_37C:3,1.2401157816364663,-0.3552237904325013
sigI:delrsgI_52C:1,3.771192471031363,0.24310778272664105
sigI:delrsgI_52C:2,5.355768416186793,0.14050011840766266
sigI:delrsgI_52C:3,1.011712336085361,0.6542515108846958
sigI:delrsgI_sigI_37C:1,0.034982001669465336,0.4474637114261872
sigI:delrsgI_sigI_37C:2,0.6111662807765825,0.7364506615456854
sigI:delrsgI_sigI_37C:3,3.2082133256789045,0.3214094713862403
sigI:delrsgI_sigI_52C:1,7.416807932188251,0.4637389566897694
sigI:delrsgI_sigI_52C:2,6.678968028970302,0.9050533627543622
sigI:delrsgI_sigI_52C:3,6.385669477258045,0.5229168364693608
sigI:wt_37C:1,-0.8169951314884141,0.0317699394517339
sigI:wt_37C:2,0.5086123020431133,0.09687628822627213
sigI:wt_37C:3,0.3083828294453058,-0.12864622767800604
sigI:wt_52C:1,5.050370562904343,0.1605892038160075
sigI:wt_52C:2,3.7078794314173313,0.6623994712049823
sigI:wt_52C:3,4.818861284024639,0.4965451986175653
spbeta:spbeta_nopep_20m:1,0.15386989926324005,-0.19944628763921732
spbeta:spbeta_pep_20m:1,-0.15799006428077714,-0.3146406351769011
spbeta:spbeta_nopep_20m:2,-0.7327515616721757,-0.3429971539369765
spbeta:spbeta_pep_20m:2,-1.1171448247740914,-0.09397640655662798
spbeta:phi3T_pep_10m:1,0.532451745777039,0.013409015701965288
spbeta:phi3T_pep_20m:1,4.704272811586124,0.20083442034764865
spbeta:phi3T_nopep_10m:1,0.1356636053031509,0.1571272773777972
spbeta:phi3T_nopep_20m:1,5.056775484026925,0.10671654313876022
spbeta:phi3T_pep_10m:2,-1.8567407469948207,0.1236023462568987
spbeta:phi3T_pep_20m:2,2.483619439972925,0.013126835248195691
spbeta:phi3T_nopep_10m:2,-2.4905327315830608,0.07394526654992806
spbeta:phi3T_nopep_20m:2,2.7318435540512227,-0.07214981385881547
spbeta:phi3T_pep_10m:3,1.3242890012177782,-0.13701136195886665
spbeta:phi3T_pep_20m:3,3.0807538370793144,0.049085809858295804
spbeta:phi3T_nopep_10m:3,0.6561364710025823,0.012484215653292273
spbeta:phi3T_nopep_20m:3,2.4796125955103023,0.08361504942021725
spore_genes:wt_0h:1,-0.3842646020695318,0.04224379329361039
spore_genes:delyphF_0h:1,1.2892592749896472,0.3475737499625611
spore_genes:delyphF_0h:2,-1.1504122210355248,0.2597225038166675
spore_genes:delyphF_0h:3,-0.01387662948360413,0.20019964082406186
spore_genes:delygaB_0h:1,-9.59227340414384,0.12495676542378666
spore_genes:delygaB_0h:2,-10.746771497349643,0.3498073235843417
spore_genes:delygaB_0h:3,-10.922267298059547,0.12299211316289148
spore_genes:wt_3h:1,-5.2809124564707055,-1.3029791938837754
spore_genes:wt_3h:2,-4.917511154686362,-1.3720233455895157
spore_genes:wt_3h:3,-2.2250332085880813,-1.313131173395765
spore_genes:delyizD_3h:1,-2.0061624854586078,-1.188380154403446
spore_genes:wt_0h:2,0.4409011674320321,0.10586767101356198
spore_genes:delyizD_3h:2,-1.2089160381873525,-0.9282510356011028
spore_genes:delyizD_3h:3,-2.0971828812034583,-1.4415830103031497
spore_genes:delykzB_3h:1,-0.922229237644623,-1.6080418549343714
spore_genes:delykzB_3h:2,-0.5196159345769007,-1.23769808831657
spore_genes:delykzB_3h:3,0.08838302386724119,-1.3113742621306157
spore_genes:delyphF_3h:1,-9.3911392622325,-1.3947034525101962
spore_genes:delyphF_3h:2,-4.169448777733418,-1.203038110222348
spore_genes:delyphF_3h:3,-9.042632706087725,-1.3030549942446097
spore_genes:delygaB_3h:1,-1.6710110922208086,-1.1108234217451
spore_genes:delygaB_3h:2,-2.508111213791864,-0.7218591620515227
spore_genes:wt_0h:3,-0.05663656536250738,-0.14811146430717148
spore_genes:delygaB_3h:3,-2.449499010151996,-0.6004857967564323
spore_genes:delyizD_0h:1,-0.07259760461757482,0.39297249781943394
spore_genes:delyizD_0h:2,-0.750737534650587,0.17477454182491492
spore_genes:delyizD_0h:3,-4.648085429874191,-0.05493091642397907
spore_genes:delykzB_0h:1,1.354855779850033,0.13430638177734622
spore_genes:delykzB_0h:2,-3.606084011484855,-0.5175298378698381
spore_genes:delykzB_0h:3,-0.5689463518151758,0.0062984813607265275
swarming:comIQ12L:1,1.1082160082939023,-0.42488452368334784
swarming:comIQ12L:2,0.013389988937802823,0.009389851205523492
swarming:comIQ12L:3,-1.1216059972317056,0.4154946724778261
swarming:comIQ12L_delefp:1,2.1998320969878216,-0.3463174622739276
swarming:comIQ12L_delefp:2,1.6165693912653625,-0.04251005743921965
swarming:comIQ12L_delefp:3,0.2408951164132785,0.3323230888571729
swarming:comIQ12L_delefp_fliYS164A:1,2.062332129379313,-0.1866716882112076
swarming:comIQ12L_delefp_fliYS164A:2,0.4892892153720305,0.15764900908700594
swarming:comIQ12L_delefp_fliYS164A:3,1.694398417266654,0.15306346483724464
swarming:comIQ12L_delefp_nusGN21S:1,-2.37902065019802,-0.2501173377446921
swarming:comIQ12L_delefp_nusGN21S:2,-1.7725059131875265,-0.01213903775792069
swarming:comIQ12L_delefp_nusGN21S:3,-2.8922091484181536,0.3970849038525275
synant49:ctrl:1,-1.1766935828835563,-0.10353271826295353
synant49:ctrl:2,2.1072560554215203,-0.1209930875190457
synant49:ctrl:3,-0.9305624725379704,0.22452580578200187
synant49:synant49:1,-10.264779584991183,0.9843408675927616
synant49:synant49:2,-11.043602021321806,0.8846950964032461
synant49:synant49:3,-9.406949605739008,0.8241695881924559
tasA:wt_72h:1,-3.4860106370343598,0.1525016400062631
tasA:wt_72h:2,-5.359621858947229,0.14087213541437915
tasA:deltasA_72h:1,-2.5981483880198533,1.0645875678826044
tasA:deltasA_72h:2,-3.4380901444572483,1.1732729695818396
tasA:wt_24h:1,0.1358551761411133,0.0071172689365939235
tasA:wt_24h:2,-0.1358551761411215,-0.0071172689365948125
tasA:wt_48h:1,-6.841808283464759,1.1301958434172503
tasA:wt_48h:2,-7.067210218315247,1.6482921456070745
tasA:deltasA_24h:1,-3.6854971018239664,1.4681629285720366
tasA:deltasA_24h:2,-3.061247579271672,1.8772703641817312
tasA:deltasA_48h:1,-5.201923326009332,2.086110731029189
tasA:deltasA_48h:2,-5.795962547331044,1.9548398263675288
yacP:wt:1,0.18518508059012992,-0.11583892287321175
yacP:delyacP:1,0.23172341614527364,-0.030329515290859813
yacP:yacP_induced:1,3.0527391683195577,0.07772808204854798
yacP:yacP_no_induce:1,2.8650181672401387,0.08126065673719207
yacP:wt:2,-0.8247192839916528,0.0456544323006689
yacP:delyacP:2,1.9377379300537416,-0.059048325485645314
yacP:yacP_induced:2,3.3782394184780107,0.05478001098258378
yacP:yacP_no_induce:2,4.207531203215152,0.033094160492432856
yacP:wt:3,0.6395342034015268,0.07018449057254461
