,guaB
Cr_1,-0.006320245461137828
Cr_2,-0.00574028774097981
Cr_3,-0.01078569287624896
Cr_4,-0.013416828944344272
Cr_5,-0.011689866342851758
Cr_6,-0.0121861396699572
Fe_1,-0.008021958925523891
Fe_2,-0.0005342806931542198
Fe_3,0.004245846004391521
Fe_4,0.006923728835564019
Fe_5,0.009155775404816796
Fe_6,0.009039028110177486
Cd_1,0.0053995525259908075
Cd_2,0.012328441794608541
Cd_3,0.01800350595199781
Cd_4,0.026354140031044984
Cd_5,0.032897097362075516
Cd_6,0.04320497116259736
Zn_1,0.004698948562042882
Zn_2,0.008644194804352504
Zn_3,0.0139104898719258
Zn_4,0.035637301289928064
Zn_5,0.059264450305966276
Zn_6,0.07453979067700096
Cu_1,0.006671023131235136
Cu_2,0.01212129561599972
Cu_3,0.01789719166823878
Cu_4,0.023235457946317692
Cu_5,0.027800131920274928
Cu_6,0.03231253505211413
Pb_1,0.009265601291777942
Pb_2,0.0199893714723578
Pb_3,0.030434431527917218
Pb_4,0.03097236237198693
Pb_5,0.03551187798352258
Pb_6,0.0337552064145515
