,ycaK
Cr_1,0.0044203145738014255
Cr_2,0.01198449116954838
Cr_3,0.01651270542845857
Cr_4,0.010403077720073178
Cr_5,-0.006235641438670485
Cr_6,-0.015517263884487825
Fe_1,-0.029903399493523112
Fe_2,-0.05559231238605593
Fe_3,-0.06802263616763495
Fe_4,-0.07230262951366619
Fe_5,-0.08347721497277705
Fe_6,-0.07840591777182586
Cd_1,0.0041150509760613276
Cd_2,0.01071280507251654
Cd_3,0.01084572957927276
Cd_4,0.01070869123025514
Cd_5,0.007559448315083089
Cd_6,0.018068961419543755
Zn_1,-0.05197422318743033
Zn_2,-0.10567695038039532
Zn_3,-0.18224089654952544
Zn_4,-0.14817429697430448
Zn_5,0.07244038857666339
Zn_6,0.4279400367313226
Cu_1,0.007232832439853862
Cu_2,0.007533180380849948
Cu_3,0.012228361300855226
Cu_4,0.019010904300352058
Cu_5,0.023214131715217187
Cu_6,0.030876464336248414
Pb_1,0.003192667563683059
Pb_2,0.0062689600927905926
Pb_3,0.011467928000294395
Pb_4,0.015534883397769915
Pb_5,0.036375682513836466
Pb_6,0.03489663726132691
