,-0.1388747091719786,-0.12344418593064765,-0.1080136626893167,-0.09258313944798574,-0.07715261620665478,-0.06172209296532383,-0.04629156972399287,-0.030861046482661914,-0.015430523241330957,0.0,0.015430523241330957,0.030861046482661914,0.04629156972399287,0.06172209296532383,0.07715261620665478,0.09258313944798574,0.1080136626893167,0.12344418593064768,0.1388747091719786,0.15430523241330954
thresh,-0.1465899707926441,0.1465899707926441,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,0,8,114,1248,2992,970,173,36,19,2,2,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
