,glnU
Cr_1,0.0022906244680417588
Cr_2,0.009497423957515896
Cr_3,0.026287372380474888
Cr_4,0.04096257220701546
Cr_5,0.04343796368698245
Cr_6,0.047175759211763584
Fe_1,-0.01854569634079101
Fe_2,-0.07751804307900118
Fe_3,-0.1165886141566689
Fe_4,-0.14337988511587033
Fe_5,-0.15028254689911336
Fe_6,-0.15366792502085247
Cd_1,0.004117502511510563
Cd_2,0.006585075441140152
Cd_3,0.007157469719064041
Cd_4,0.007409083557448771
Cd_5,-0.0015290009847501215
Cd_6,-0.0018013815049820984
Zn_1,-0.023271663892584248
Zn_2,-0.03311475296982881
Zn_3,-0.045401482510623765
Zn_4,-0.048325016246210384
Zn_5,-0.05059369025099073
Zn_6,-0.05157615240705938
Cu_1,0.007042218996946144
Cu_2,0.01823026301748677
Cu_3,0.02904616308998229
Cu_4,0.03583102821478889
Cu_5,0.036788411431004316
Cu_6,0.034439485910537734
Pb_1,0.004962921588954807
Pb_2,0.013055196352438994
Pb_3,0.020070334810176498
Pb_4,0.018835565786563285
Pb_5,0.025944460537877842
Pb_6,0.0317294235385634
