,yeeA
Cr_1,0.005503416198024678
Cr_2,0.004891704158928947
Cr_3,0.004847586358644564
Cr_4,0.0062914066438930615
Cr_5,0.00664532855935002
Cr_6,0.006495430347681475
Fe_1,-0.008211774511361567
Fe_2,-0.004821103886156032
Fe_3,0.006813717670889916
Fe_4,0.015842070475143636
Fe_5,0.040123845907768116
Fe_6,0.05745843997139336
Cd_1,0.003465831587030553
Cd_2,0.0062493730928335186
Cd_3,0.006032434800735954
Cd_4,0.00345998524377032
Cd_5,-0.0009927235491462496
Cd_6,0.0013407097841224365
Zn_1,-0.0010101026077427163
Zn_2,0.004970716474783342
Zn_3,0.012099954572215571
Zn_4,0.008109483724456653
Zn_5,0.013202656154451452
Zn_6,0.0020634628248151253
Cu_1,0.0029830752562542
Cu_2,0.012809809733812393
Cu_3,0.019739305493288915
Cu_4,0.02427575996712961
Cu_5,0.03282024639501917
Cu_6,0.04057455520249622
Pb_1,0.0018960805104714519
Pb_2,0.01077470435926612
Pb_3,0.01905757016219926
Pb_4,0.02207228144525892
Pb_5,0.023224803683311982
Pb_6,0.02544272931971494
