,ybdH
Cr_1,0.012450353441226077
Cr_2,0.02600259572664556
Cr_3,0.0372894202495112
Cr_4,0.04442984639394373
Cr_5,0.05192526673265574
Cr_6,0.05539270925549642
Fe_1,-0.003082652542202436
Fe_2,-0.014027567083347698
Fe_3,-0.023726362633518943
Fe_4,-0.032370230179214685
Fe_5,-0.03331022080764018
Fe_6,-0.032686332865097784
Cd_1,0.0037177747391825885
Cd_2,0.009997856755797884
Cd_3,0.01573312387334459
Cd_4,0.02295035310724099
Cd_5,0.024957065612535103
Cd_6,0.03053847549926405
Zn_1,-0.0024895903243510892
Zn_2,-0.011992197610413615
Zn_3,-0.022361585302626358
Zn_4,-0.024490588355022387
Zn_5,-0.02638412216659052
Zn_6,-0.026298111521103864
Cu_1,0.007236403442829058
Cu_2,0.014931873518031984
Cu_3,0.02109862901328308
Cu_4,0.026160726279965244
Cu_5,0.034104144135460264
Cu_6,0.04172949370731637
Pb_1,0.009397430006727128
Pb_2,0.021597781279855698
Pb_3,0.034645541716405284
Pb_4,0.046549875293700665
Pb_5,0.05609399030892024
Pb_6,0.06143841250268701
