,prpB
Cr_1,0.0053915639440596345
Cr_2,0.011722744564410595
Cr_3,0.01631730659185741
Cr_4,0.023183510201433968
Cr_5,0.024679996711091067
Cr_6,0.02948526615233137
Fe_1,-0.006036750421485549
Fe_2,-0.01678546752621144
Fe_3,-0.01764384169783102
Fe_4,-0.015392783809236381
Fe_5,-0.011356359039043406
Fe_6,-0.0054196117692761605
Cd_1,0.006202963819340278
Cd_2,0.00781930042475852
Cd_3,0.013216024283895686
Cd_4,0.01566217241548584
Cd_5,0.017157190254587586
Cd_6,0.02607478428962192
Zn_1,0.008538478909914831
Zn_2,0.018984119597567302
Zn_3,0.036372399812586484
Zn_4,0.0534879395927024
Zn_5,0.0710272666299318
Zn_6,0.0874707759022996
Cu_1,0.011226000939634558
Cu_2,0.025564504111669814
Cu_3,0.04600905852341156
Cu_4,0.06383831396521708
Cu_5,0.07922707525620823
Cu_6,0.09816943069275748
Pb_1,0.005165781791264346
Pb_2,0.011014635014355607
Pb_3,0.011235788334928469
Pb_4,0.005462166697614919
Pb_5,-0.004849340245343751
Pb_6,-0.0028444084059481983
