,A,FliA
R2,,0.31947578262247234
xmin,,-9.6582550968
xmid,,-5.3985454344749515
xmax,,9.0503325143
ystart,,-2.488728463761089
yend,,4.227763060424708
aat__00m_00s__1,0.1154352445,-0.26293615940000004
aat__00m_30s__1,0.23891857700000002,-0.4144706946
aat__01m_00s__1,0.7039248389,-0.2640511063
aat__02m_00s__1,0.4463305461,-0.11541768740000001
aat__05m_00s__1,0.916828215,-0.2529709717
aat__10m_00s__1,0.7153630812,-0.5877829253
aat__00m_00s__2,-0.6367000230000001,-0.3281306765
aat__00m_30s__2,0.12491781190000001,-0.0677967758
aat__01m_00s__2,0.5793853204,-0.2778869359
aat__02m_00s__2,0.6331390045,-0.25121854320000003
aat__05m_00s__2,0.9008739294,-0.2949256203
aat__10m_00s__2,0.5837012532,-0.791700834
aat__00m_00s__3,0.5212647785,0.591066836
aat__00m_30s__3,0.1867384146,0.6375494104
aat__01m_00s__3,0.6268971107,0.4736079131
aat__02m_00s__3,0.8467809646000001,0.7875777803
aat__05m_00s__3,1.3345357201999999,0.606444737
aat__10m_00s__3,1.3972819147,0.2257627463
abx_mega__dmso-2__1,1.6166579747,0.8577902799
abx_mega__ery_dmso__1,0.0697908783,-0.6727015686000001
abx_mega__nal_naoh__1,0.9095951291000001,0.15071211340000001
abx_mega__dmso-5__1,-1.1382756108,0.4007097027
abx_mega__rif_dmso__1,-2.5033793751999998,-1.2171742947
abx_mega__novo_h2o__1,3.9474525888,-1.0658265789
abx_mega__rach_dmso__1,-2.7935697692,-0.1884535988
abx_mega__metro_dmso__1,-0.2000558305,0.4250773084
abx_mega__dmso-6__1,-1.1963185434,0.4721224163
abx_mega__chl_h2o__1,-0.2793653615,-1.8436716191
abx_mega__cst_h2o__1,-2.1361752788,-0.35035676520000003
abx_mega__tec_h2o__1,-1.8429868580000002,-0.9679102512000001
abx_mega__str_h2o__1,3.1806390834,1.1506966283
abx_mega__ctx_h2o__1,-1.6135897578,0.0487218393
abx_mega__nal_naoh__2,0.0240854009,-0.4570446937
abx_mega__phos_h2o__1,-0.8318407971,-0.24761762750000002
abx_mega__dmso-5__2,-1.6201945546,0.4191833486
abx_mega__polmyx_h2o__1,-1.975402447,0.3704653451
abx_mega__h2o-8b__1,-2.1824071211,-0.28276802900000003
abx_mega__h2o-6__1,-0.0922928271,0.1158069327
