,A,BasR
R2,,0.14799863678350456
xmin,,-3.7883617059
xmid,,
xmax,,4.1957462421
ystart,,-4.979942653054061
yend,,5.5356695184634095
SRX1125282,0.40041483520000004,0.2367996392
SRX1125283,-0.1132361706,0.1143877792
SRX1125284,0.3083946221,0.11715970510000001
SRX1125285,0.41769410300000004,0.115765952
SRX1125286,-0.0527522246,0.0953267889
SRX1125287,-0.270304675,-0.1388090048
SRX1125288,0.465598964,-0.3908449242
SRX1125289,-0.27266614580000004,-0.08091621780000001
SRX1125290,0.3148143298,0.09128027150000001
SRX1125291,0.0502336221,-0.0626757948
SRX1125292,0.2087597507,0.1872986761
SRX1125293,1.0895066154,0.2136605962
SRX1125294,-0.8660137991,0.154045285
SRX1125295,0.14468817350000002,0.4514123151
SRX1125296,0.10117167810000001,0.2300552669
SRX1125297,0.6655406484,0.3980087547
SRX1125298,0.56816199,0.3579994312
SRX1125299,1.0236217471,0.2297442661
SRX5694250,0.2442817736,0.7401166791
SRX5694251,0.8688343091,-1.2934819169
SRX5694252,-2.1394459123,0.7872892526
SRX5694253,1.0574915886,0.4337738551
SRX5694254,4.0124971089,0.8879447647
SRX5694255,2.1677848764,-1.8914538543
SRX5694256,-1.2465311507,0.13863780150000002
SRX5694257,0.7442093037,0.3247744448
SRX5694258,1.1383003228,0.8014039586
SRX5694259,2.6455250865,-1.9361896806
SRX5694260,-1.2952272826,0.37589207290000004
SRX5694261,-2.9707471681,0.1702601521
SRX5694262,-1.8787965929000001,1.1518746032
SRX5694263,-2.0452732423,0.0862757487
SRX5694264,-1.4480106178,0.2082526174
SRX5694265,-1.7533953923999999,-0.07926351990000001
SRX5694267,0.2972657573,0.1844345137
SRX5694268,-2.4139917731000002,0.423710833
SRX5694269,-0.8996092789000001,0.4500717185
SRX5694271,-0.9143486169,0.0750106127
SRX5694273,0.3907853522,-0.5758972313
SRX5694274,-1.9213668892,0.3716846398
SRX5694275,-2.377359423,0.0901618909
SRX5694276,0.75886193,-1.1382148476
SRX5694277,-1.368946952,0.2241432065
SRX5694278,1.7524510159000002,-0.6733659782
SRX5694279,-0.9426745400000001,0.11928270810000001
SRX5694280,-0.9062285170000001,0.2138507834
SRX5694281,-0.7287811179,0.5478645535000001
SRX5694282,0.726315247,-0.8810098355
SRX5694283,-1.4423633434,-0.3191864075
SRX5694284,-2.5542959414,-0.5005513535
SRX5694285,-0.7251424619,-0.054744292900000005
SRX5694286,-2.1835755576,0.2336997716
SRX5694287,-0.7414834777,0.3208006961
SRX5694288,-1.3511318619,-0.0249301143
SRX5694289,-1.07877183,0.16926314050000002
SRX5694290,-1.864407525,-0.0809966341
SRX5694291,1.9930476788,-2.3635700423
SRX5694292,0.0780766616,0.4746019462
SRX5694293,-1.6878407917,0.2649149776
SRX5694294,0.5658494265,0.8269151807
