,yojI
Cr_1,0.0025324681250490787
Cr_2,0.006090511605375306
Cr_3,0.00889209590734812
Cr_4,0.008636348046123923
Cr_5,0.004730701561042804
Cr_6,-0.003691106637194412
Fe_1,-0.0054030422243303905
Fe_2,-0.012815705406322988
Fe_3,-0.01661498971105439
Fe_4,-0.0277763144259397
Fe_5,-0.03387790309969404
Fe_6,-0.032327309970098375
Cd_1,0.005765437294583783
Cd_2,0.012666851838111427
Cd_3,0.01819234126363152
Cd_4,0.023112409960414027
Cd_5,0.025661924277370258
Cd_6,0.033820213968078966
Zn_1,-0.0070108697030926755
Zn_2,-0.011058815595901442
Zn_3,-0.008666250565145498
Zn_4,-0.009551250184557741
Zn_5,-0.015330766744456912
Zn_6,-0.026131430583184914
Cu_1,0.007581878261287328
Cu_2,0.01858268956950506
Cu_3,0.02470093848059201
Cu_4,0.031573413872148015
Cu_5,0.0370066290618126
Cu_6,0.046801317227591864
Pb_1,0.005785549409005609
Pb_2,0.016660621357313967
Pb_3,0.030909094502733856
Pb_4,0.04215207567521622
Pb_5,0.05261563964945145
Pb_6,0.06605257166447494
