,A,NanR
R2,,0.4021583281539731
xmin,,-1.7225917014
xmid,,
xmax,,0.5410719796
ystart,,17.20880018225017
yend,,-4.224866413118395
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:1.0,-0.8229887645,0.021028350300000002
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:2.0,-0.4990003939,-0.2350897842
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:3.0,1.3219891585,0.21406143390000001
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:1.0,15.2096793968,-1.4097026888
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:2.0,15.1521271325,-1.6149227225
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:3.0,3.4509821377,-0.5341851748
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:1.0,12.3473013071,-1.7120486355
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:2.0,11.9858334504,-1.6445912024
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:3.0,14.0042226002,-1.7225917014
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:1.0,0.6330832937,0.0231755357
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:2.0,0.21199958200000002,-0.1615915362
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:3.0,-2.1994663879,0.1684768627
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:4.0,2.5007942972,-0.082744787
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:5.0,-0.5016203573,-0.0794982779
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:6.0,-2.3202738622,0.0936442868
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:7.0,-0.6819325469,0.0824134114
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:8.0,-1.2822046574,-0.4350360626
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:9.0,-1.4494564213,-0.2093527831
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:10.0,7.3156670448,0.196394542
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:11.0,2.0929719293,0.17260909800000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:12.0,-0.4285939084,-0.1513540179
