,rssA
Cr_1,-0.0029450350587200244
Cr_2,0.0013627924418900164
Cr_3,0.017371663237826282
Cr_4,0.032397897064829026
Cr_5,0.047532195587575536
Cr_6,0.05550411385109731
Fe_1,-0.006703881325730034
Fe_2,-0.0225674458554975
Fe_3,-0.0456905638632437
Fe_4,-0.07787678990786807
Fe_5,-0.10318408419602708
Fe_6,-0.13154998339421098
Cd_1,0.004368621570779401
Cd_2,0.011031572504835314
Cd_3,0.01865727190122809
Cd_4,0.02652291065716731
Cd_5,0.030981348781457307
Cd_6,0.044806990714551284
Zn_1,-0.0022391827681059644
Zn_2,0.006341341632297747
Zn_3,0.01827840422567536
Zn_4,0.03274638850428237
Zn_5,0.04647582514246475
Zn_6,0.05912646634616036
Cu_1,0.0048356077726130755
Cu_2,0.00916880678132078
Cu_3,0.011816308216550804
Cu_4,0.013391481270815232
Cu_5,0.01660702253678738
Cu_6,0.019726525669454303
Pb_1,0.011666376161486395
Pb_2,0.02086405113743276
Pb_3,0.04257590530942788
Pb_4,0.06033738841699099
Pb_5,0.0732910027033223
Pb_6,0.09338140892290864
