,A,CdaR
R2,,0.7423666804967948
xmin,,1.7295210213
xmid,,
xmax,,10.1755877776
ystart,,-6.245655657193047
yend,,25.313994962659223
control__wt_glc__1,0.0419019894,3.6551467327
control__wt_glc__2,-0.0419019894,3.2750674037
fur__wt_dpd__1,2.2396552805,3.7380130691
fur__wt_dpd__2,1.9493068423,3.595439523
fur__wt_fe__1,-0.24882340360000002,3.1095884153
fur__wt_fe__2,0.1298953722,2.7538705614
fur__delfur_dpd__1,0.9532740528,3.4057028813
fur__delfur_dpd__2,1.0688723388,3.383956051
fur__delfur_fe2__1,0.348373561,3.2655969672
fur__delfur_fe2__2,0.1797450119,3.194331274
acid__wt_ph5__1,1.1035368447,3.7778222551000002
acid__wt_ph5__2,0.8659568359,3.8692662802
acid__delgadx_ph5__1,0.7700396231000001,2.817107248
acid__delgadx_ph5__2,0.7875872110000001,3.6376248068
acid__delgadw_ph5__1,1.1240626927,3.7070910848
acid__delgadw_ph5__2,1.4143678739,3.9003207431
acid__delgade_ph5__1,1.5780964404,3.8727552513
acid__delgade_ph5__2,1.6090123143000001,3.7215946338
oxidative__wt_pq__1,1.7275673246,3.8185236275000003
oxidative__wt_pq__2,1.3887459043,3.5633801783
oxidative__deloxyr_pq__1,1.1587535667,3.5463381667
oxidative__deloxyr_pq__2,0.8930814397,3.701540972
oxidative__delsoxr_pq__1,0.8875677759,3.3960414891
oxidative__delsoxr_pq__2,0.8923943947,3.6362918877
oxidative__delsoxs_pq__1,1.4750912891,3.9164744833
oxidative__delsoxs_pq__2,1.8229396124,3.9890241122
nac_ntrc__wt_csn__1,1.9235942703000002,3.6753677834
nac_ntrc__wt_csn__2,1.8974867055,3.4349615442
nac_ntrc__wt_cytd__1,0.3827058947,2.9759010862
nac_ntrc__wt_cytd__2,1.0475379988,3.1635251054
nac_ntrc__wt_gln__1,0.0686334328,3.4945871565
nac_ntrc__wt_gln__2,0.45637915160000003,2.9700244612
nac_ntrc__bw_delnac_csn__1,3.6801324911,4.7785696257
nac_ntrc__bw_delnac_csn__2,3.2246520829,4.7278286211000005
nac_ntrc__bw_delnac_cytd__1,2.0814375591,3.7021783571
nac_ntrc__bw_delnac_cytd__2,1.8542396105,3.5300537738
nac_ntrc__bw_delnac_gln__1,1.6752583796,3.9335749388
nac_ntrc__bw_delnac_gln__2,1.9302884934,3.6083976956
nac_ntrc__bw_delnac_nh4__1,1.7773180681,3.8096419059
nac_ntrc__bw_delnac_nh4__2,1.4553861272,3.4892832581
misc__wt_no_te__1,0.8447570925000001,3.2775826198
misc__wt_no_te__2,1.8458051078,3.4879347294
misc__bw_delcbl__1,1.4040649903,3.7004248027
misc__bw_delcbl__2,0.8428106142,3.7074979028
misc__bw_delfabr__1,0.8120807594,3.6071443346
misc__bw_delfabr__2,0.7960176035000001,4.1160930319
misc__bw_delfadr__1,1.6735752970000002,3.7367730613
misc__bw_delfadr__2,1.0684907726,3.7489199139
misc__nitr_031__1,2.0155126555,3.6375403231
omics__wt_glu__1,-0.16305516550000002,2.3751356308
omics__wt_glu__2,0.4229442584,2.9882509867
omics__wt_gly__1,1.1201315117,2.8217706199
omics__wt_gly__2,0.6644806186000001,3.3689587953
omics__wt_thr__1,4.6880223762,4.1935857223
omics__wt_thr__2,3.2419741275,3.9028209890000003
omics__bw_ac__1,2.6549552841,5.6193006
omics__bw_ac__2,2.3842222778,5.5638517983
omics__bw_fum__1,2.4110810115,5.4197843749
omics__bw_fum__2,2.2283909785000002,5.58008013
omics__bw_glc__1,1.3362339897,4.0122859264
omics__bw_glc__2,0.4844955231,4.4361034236
omics__bw_pyr__1,1.366350696,5.1931752386
omics__bw_pyr__2,1.4856816527,5.2734571166
ompr__wt_nacl__1,1.5629544537,2.6354861327
ompr__wt_nacl__2,1.5368949131,2.7326490808
