,ndh
Cr_1,0.006141058113472626
Cr_2,0.007561653072108659
Cr_3,0.01850662654899584
Cr_4,0.02210728401708711
Cr_5,0.029417329151118388
Cr_6,0.034912416082139575
Fe_1,0.006111292261329655
Fe_2,-0.005597791245479125
Fe_3,-0.03256912475280524
Fe_4,-0.06966345766222656
Fe_5,-0.10266417580156824
Fe_6,-0.14092264692056294
Cd_1,-0.002210606311861607
Cd_2,-0.004157670308436515
Cd_3,-0.003495906887084356
Cd_4,-0.004827405218548317
Cd_5,-0.008536638802819614
Cd_6,-0.009438655537066857
Zn_1,-0.0043368978025969795
Zn_2,-0.012130393325662276
Zn_3,-0.01161127428113808
Zn_4,-0.02993441959994655
Zn_5,-0.048819603365567434
Zn_6,-0.07256202375258426
Cu_1,0.013098825425436006
Cu_2,0.024218312831527398
Cu_3,0.023591643644446263
Cu_4,0.02845877465381958
Cu_5,0.03090459603708647
Cu_6,0.04091761604051439
Pb_1,0.0005955823958487066
Pb_2,0.00989707476480739
Pb_3,0.01009700135965436
Pb_4,0.01864538532363825
Pb_5,0.029946937971231838
Pb_6,0.04198951616240973
