,PA3440a
Paeru_0077,-0.418766793
Paeru_0106,-0.564832852
Paeru_0107,-0.44612858600000005
Paeru_0111,-0.01411706
Paeru_0112,-0.08992691900000001
Paeru_0131,-0.267830413
Paeru_0132,-0.731408291
Paeru_0133,-0.47793568100000006
Paeru_0134,-0.422995084
Paeru_0135,-0.724528542
Paeru_0136,-0.7185766840000001
Paeru_0137,-0.5023659970000001
Paeru_0138,-0.177641558
Paeru_0161,0.10216823
Paeru_0162,0.163819992
Paeru_0166,0.166198899
Paeru_0167,-0.056150553000000006
Paeru_0220,-1.402744903
Paeru_0221,-1.228073669
Paeru_0258,-2.099168866
Paeru_0259,-1.354301607
Paeru_0260,-1.467504262
Paeru_0261,-8.002131986
Paeru_0262,-3.453770203
Paeru_0263,-0.960693506
Paeru_0264,-2.501168626
Paeru_0265,-0.86474779
Paeru_0266,-1.603223715
Paeru_0267,-0.9494771810000001
Paeru_0268,-1.971172055
Paeru_0269,-1.726196984
Paeru_0270,-2.289289525
Paeru_0271,-2.314305812
Paeru_0282,-1.470857146
Paeru_0283,-3.342230943
Paeru_0284,-2.344789311
Paeru_0285,-2.9252554120000003
Paeru_0286,-2.327989835
Paeru_0287,-2.061577447
Paeru_0001,-0.10701255600000001
Paeru_0002,-0.610742102
Paeru_0005,-2.030659259
Paeru_0006,-1.841679938
Paeru_0007,1.182329827
Paeru_0009,1.317509012
Paeru_0011,-0.157904594
Paeru_0012,1.151903928
Paeru_0013,0.028399794000000003
Paeru_0014,1.08245781
Paeru_0021,0.848078069
Paeru_0022,0.649516525
Paeru_0023,-1.101680021
Paeru_0024,-0.8959418640000001
Paeru_0025,-0.8329030730000001
Paeru_0026,-0.5498628210000001
Paeru_0031,-1.7079226790000002
Paeru_0032,-1.669699985
Paeru_0102,0.06720126900000001
Paeru_0103,-0.315856784
Paeru_0104,-0.17912343600000002
Paeru_0105,-1.122235633
Paeru_0108,0.075497545
Paeru_0109,0.418245505
Paeru_0110,0.46721758700000005
Paeru_0121,-0.8802832380000001
Paeru_0122,-1.503888462
Paeru_0123,-1.074067995
Paeru_0124,-1.355122094
Paeru_0125,0.155608336
Paeru_0126,0.069321251
Paeru_0127,0.26218345400000004
Paeru_0128,-0.268957851
Paeru_0129,-0.551095907
Paeru_0139,-1.272496209
Paeru_0140,-1.151939242
Paeru_0157,-2.09130976
Paeru_0158,-1.895509917
Paeru_0159,-1.7708157080000002
Paeru_0160,-1.849211316
Paeru_0163,-0.112321207
Paeru_0165,-0.326395776
Paeru_0218,-1.93682492
Paeru_0219,-2.479396842
Paeru_0254,0.09005916900000001
Paeru_0256,-0.10732276
Paeru_0257,0.14591568600000002
SRX591667,0.194119532
SRX591668,-0.298243
SRX591669,-0.49828308
SRX591670,-1.172545723
SRX591671,-0.123762755
SRX591675,-0.194119532
SRX591676,0.33678455300000004
SRX591677,-0.27033308300000003
SRX591678,-1.546333083
SRX591679,0.42242885
ERX541575,-1.188068307
ERX541576,-0.584444303
ERX541577,-1.091964544
ERX541578,0.304955694
ERX541585,0.506653633
ERX541586,-1.120610813
ERX541587,-0.476180101
ERX541588,0.476180101
ERX541593,0.081965429
ERX541594,-0.535823972
ERX541595,0.9146032460000001
ERX541596,-0.155286648
SRX3763712,0.296086316
SRX3763714,-0.296086316
SRX3763715,0.6729750170000001
SRX3763716,1.519332248
SRX3763717,1.573707782
ERX2259197,0.39914146300000003
ERX2259198,0.32883577
ERX2259199,0.01824389
ERX2259200,-0.01824389
SRX1516139,0.01430063
SRX1516140,-0.01430063
SRX1516141,0.19460433
SRX1516142,0.284348449
ERX2068556,0.08154765600000001
ERX2068557,-0.034412982
ERX2068558,-0.07536561800000001
ERX2068559,0.404224073
ERX2068560,-0.323098165
ERX2068561,-0.08112590700000001
SRX2652927,0.600936699
SRX2652931,0.18436041900000003
SRX2652933,0.07649093900000001
SRX2652935,-0.044394107
SRX2652937,-0.032096832
SRX3324112,0.127567581
SRX3324113,-0.127567581
SRX3324116,-0.549009963
SRX3324117,0.11924175000000001
SRX6747953,-0.102480706
SRX6747954,0.164812173
SRX6747955,-0.062331467
SRX6747957,-0.096497121
SRX6747958,-0.016270762
SRX7058493,0.362708048
SRX7058498,0.535712728
SRX7058499,0.42224932600000004
