,ymfI
Cr_1,0.004363038149142714
Cr_2,0.008357439182057301
Cr_3,0.016373999097505778
Cr_4,0.014930419213758862
Cr_5,0.008111413282894192
Cr_6,0.005374612393030534
Fe_1,-0.013581592961779404
Fe_2,-0.03491692058965798
Fe_3,-0.06145265985710813
Fe_4,-0.08132074207679166
Fe_5,-0.09247175064102196
Fe_6,-0.1089280578585438
Cd_1,0.0029581222418059625
Cd_2,0.008870372557336916
Cd_3,0.01497780903447301
Cd_4,0.02099569847212854
Cd_5,0.021286324843462972
Cd_6,0.02652384898115505
Zn_1,-0.008773311773393355
Zn_2,-0.0182191892802456
Zn_3,0.0004477118165984946
Zn_4,0.04219775168161519
Zn_5,0.105040026212753
Zn_6,0.12201306449199785
Cu_1,0.003083595715611201
Cu_2,0.0037204324039351797
Cu_3,0.010989818172214942
Cu_4,0.01910216164277808
Cu_5,0.028202644606083925
Cu_6,0.03920243019395996
Pb_1,0.004094505966250937
Pb_2,0.012485929734076707
Pb_3,0.030970872188512667
Pb_4,0.0502661077531584
Pb_5,0.06603160375733902
Pb_6,0.0856068688081287
