,fliY
Cr_1,0.007809392050502775
Cr_2,0.023510862905515684
Cr_3,0.04919475280991256
Cr_4,0.06771476276320525
Cr_5,0.07771913046683306
Cr_6,0.08752580452201325
Fe_1,-0.003924216948078318
Fe_2,-0.002690947659856462
Fe_3,0.008320750650244749
Fe_4,0.020825259889195605
Fe_5,0.0330465436327263
Fe_6,0.033186557534790835
Cd_1,-0.0009126000844567037
Cd_2,0.006575243001731385
Cd_3,0.01432535768979843
Cd_4,0.02262070154746047
Cd_5,0.02207370837188
Cd_6,0.022388716117676802
Zn_1,-0.04275211631497328
Zn_2,-0.06130346732321412
Zn_3,-0.06796696650943905
Zn_4,-0.07597931464936329
Zn_5,-0.08117105879791282
Zn_6,-0.09874633910072893
Cu_1,0.003032116017057181
Cu_2,0.003912329186724872
Cu_3,0.006107269395565029
Cu_4,0.01027345863193541
Cu_5,0.008918262612723835
Cu_6,0.007421746301976391
Pb_1,0.004615339604720492
Pb_2,0.00806797935090213
Pb_3,0.008859389637897692
Pb_4,0.015024944178703663
Pb_5,0.020482010645799967
Pb_6,0.02004832790250479
