,A,PdhR,PyrR,BtsR
R2,,0.23986789490201643,0.0,0.0
xmin,,3.1410632063,4.8933072767,3.333371371
xmid,,8.223390840789696,,
xmax,,10.3336512791,7.485545346,7.1597859952
ystart,,1.7729964329498316,2.2410335072892087,2.2410335072892087
yend,,12.89521559398765,2.2410335072892087,2.2410335072892087
control__wt_glc__1,-0.1284038855,8.1735146668,5.9180110798,5.2588204078
control__wt_glc__2,0.1284038855,8.2671788305,5.6004189638,5.0968943984
fur__wt_dpd__1,5.622952037,8.5701449172,7.1159539318,4.2752850372
fur__wt_dpd__2,4.4587827374,8.7507203484,6.9946841686,3.9147898285
fur__wt_fe__1,1.0723615766,7.8757125616,5.3972572475,4.830131939
fur__wt_fe__2,-0.0729065395,7.883651202,5.7252597413,4.8913417873
fur__delfur_dpd__1,8.4695674443,8.7697288112,6.8244381761,4.4767889888
fur__delfur_dpd__2,8.5388651766,8.9745489227,6.5795835282,4.3639591473
fur__delfur_fe2__1,0.8133641362,7.99515974,6.1009552079,4.8644289282
fur__delfur_fe2__2,1.1263168001000001,8.0017366905,5.9975723999,4.6688172536
acid__wt_ph5__1,4.86384786,7.9932828578,6.2954049794,5.1528464989
acid__wt_ph5__2,5.0942190401,7.9702910182,6.4764155171,5.0104541688
acid__delgadx_ph5__1,4.5234622752,7.8574035436,6.5715401473,5.2104607009
acid__delgadx_ph5__2,4.1171650289,7.9633184689,6.4970931706,4.9304232609
acid__delgadw_ph5__1,4.6266534582,7.9046155674000005,6.4666864009000005,5.2012556941
acid__delgadw_ph5__2,3.8375362133,7.8826372188,6.5405403216,4.9733067977
acid__delgade_ph5__1,4.900307857,8.0098891784,6.4322152592,5.0473492195
acid__delgade_ph5__2,5.1687879391,7.8758062296,6.4532650697000005,5.2248632536
oxidative__wt_pq__1,2.6552842041,7.7996659252,6.6749521191,4.4446320229000005
oxidative__wt_pq__2,2.0323191026,7.762829714,6.9378231158,4.5489518297
oxidative__deloxyr_pq__1,2.0840439731,7.4468673058,6.8661270783,4.5092309027
oxidative__deloxyr_pq__2,1.7120708677,7.5346373184,6.7830571024,4.3983846976
oxidative__delsoxr_pq__1,2.8621561401,7.4800480445,6.6338216275,4.5339447911
oxidative__delsoxr_pq__2,2.6771622826,7.4046486873,6.7230285973,4.619602942
