,-0.0544981918607,6.938893903907228e-18,0.05449819186070001,0.10899638372140001,0.1634945755821,0.21799276744280005,0.27249095930350004,0.3269891511642001,0.38148734302490006,0.43598553488560005,0.4904837267463001,0.5449819186070001,0.5994801104677,0.6539783023284,0.7084764941891001,0.7629746860498,0.8174728779105,0.8719710697712001,0.9264692616319,0.9809674534926002
thresh,-0.08174728779105,0.08174728779105,5,,,,,,,,,,,,,,,,,
unreg,61,3745,62,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BtsR,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PyrR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PdhR,0,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BtsR and PdhR,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unreg_genes,[],[],[],['ackA' 'yjiX' 'ldhA'],['mqo'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
BtsR_genes,[],['csgE' 'csgD' 'mdh' 'csgG' 'csgA' 'cspC' 'csgF'],['yobF'],[],[],[],[],[],[],[],[],[],['btsT'],[],[],[],[],[],[],[]
PyrR_genes,[],[],[],[],['yhjX'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
PdhR_genes,[],"['tomB' 'glcF' 'glcD' 'glcA' 'glcB' 'lpxC' 'glcG' 'mraZ' 'fecA' 'ftsA'
 'ftsZ' 'hha' 'glcE' 'hemL' 'rsmH' 'murG' 'ddlB' 'fecB' 'ftsQ' 'ftsL'
 'murC' 'ftsI' 'fecC' 'murE' 'fecE' 'murD' 'murF' 'ftsW' 'mraY' 'fecD']",['cyoA' 'cyoC' 'cyoB' 'cyoD' 'cyoE' 'grcA' 'ndh'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
BtsR and PdhR_genes,[],[],['lpd' 'pdhR'],['aceE' 'aceF'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
