,ykgJ
Cr_1,0.0018006138454111317
Cr_2,0.004918280353479459
Cr_3,0.010746212011519915
Cr_4,0.018320291857911702
Cr_5,0.02274946369666083
Cr_6,0.023580092974403364
Fe_1,-0.00993410805495239
Fe_2,-0.032113533154094945
Fe_3,-0.0506215167824891
Fe_4,-0.07113924358394984
Fe_5,-0.08973928916499406
Fe_6,-0.10330688389780668
Cd_1,0.001195902206104308
Cd_2,0.004048209881811287
Cd_3,0.007676349589443059
Cd_4,0.012148313241273684
Cd_5,0.009542143090613645
Cd_6,0.016209291852874976
Zn_1,0.004242981539305007
Zn_2,0.005957329484427968
Zn_3,0.010727347963433664
Zn_4,0.019018320679565114
Zn_5,0.031824207869588755
Zn_6,0.04543418016937658
Cu_1,0.008478897682876105
Cu_2,0.016084493177903152
Cu_3,0.028246912223701168
Cu_4,0.0418779903339395
Cu_5,0.058287385289214524
Cu_6,0.07302789063233474
Pb_1,0.004547882787279244
Pb_2,0.009172062978275127
Pb_3,0.021765852922643776
Pb_4,0.04138149747326129
Pb_5,0.058412412438160186
Pb_6,0.07742240957190037
