,flgA
Cr_1,-0.005446683197231204
Cr_2,0.0008820020965281594
Cr_3,-0.001606129691512808
Cr_4,0.005280694797240021
Cr_5,0.011076616208323193
Cr_6,0.018541368131651758
Fe_1,-0.023140182400003415
Fe_2,-0.06308755479723523
Fe_3,-0.096343865782025
Fe_4,-0.12806843954505934
Fe_5,-0.1601334707947791
Fe_6,-0.17177969056641718
Cd_1,-0.012257107431636455
Cd_2,-0.027879606261751573
Cd_3,-0.006640733473022675
Cd_4,0.013945390548280891
Cd_5,0.038674740675586725
Cd_6,0.05013340867842227
Zn_1,-0.0319376015312186
Zn_2,-0.07471502007312551
Zn_3,-0.15606231518676358
Zn_4,-0.16272175730691102
Zn_5,-0.15587129395007784
Zn_6,0.011774042455681054
Cu_1,0.009387532948085186
Cu_2,0.012668360491866116
Cu_3,0.02675635503060437
Cu_4,0.03724375564778799
Cu_5,0.05211088326611052
Cu_6,0.07026696706469278
Pb_1,0.01522417093811324
Pb_2,0.03362999647768472
Pb_3,0.04671873648346729
Pb_4,0.04748352695056735
Pb_5,0.062036212174178325
Pb_6,0.07798315894616313
