,ribA
Cr_1,-0.00803532069895878
Cr_2,-0.017167989018076358
Cr_3,-0.019051651507994573
Cr_4,-0.02157754876699964
Cr_5,-0.030540552904184167
Cr_6,-0.046972547250669724
Fe_1,-0.04221242651777186
Fe_2,-0.05615395841774869
Fe_3,-0.044426265014062
Fe_4,-0.03140971619523498
Fe_5,0.0008619031310261914
Fe_6,-0.0012739379315452218
Cd_1,0.01032312662316752
Cd_2,0.01890740569311171
Cd_3,0.023808907433913482
Cd_4,0.034536757179249686
Cd_5,0.042314280750804366
Cd_6,0.055535490224842096
Zn_1,0.003727068536324658
Zn_2,0.009534017016717694
Zn_3,0.013377692993398313
Zn_4,0.03340869119248722
Zn_5,0.059435494347826974
Zn_6,0.08071977595091064
Cu_1,0.0005095272698624372
Cu_2,0.0034410680797550106
Cu_3,0.008812695291019607
Cu_4,0.009046001268442988
Cu_5,0.015371360603866019
Cu_6,0.02486895424923917
Pb_1,0.01099291680995959
Pb_2,0.020543658945302516
Pb_3,0.038002018580345485
Pb_4,0.04650430843842921
Pb_5,0.05760312376437742
Pb_6,0.07673524735118932
