,gatR_1
Cr_1,0.0007383846368000732
Cr_2,0.00516390968342845
Cr_3,0.010726487273010591
Cr_4,0.016527918343701844
Cr_5,0.021522017042132833
Cr_6,0.020477131635585344
Fe_1,-0.0037883668586878314
Fe_2,-0.017906253849133642
Fe_3,-0.04021056682108139
Fe_4,-0.0624304190518877
Fe_5,-0.08180484317941175
Fe_6,-0.0968402333871564
Cd_1,0.01827224545716404
Cd_2,0.04655250900066407
Cd_3,0.06682339442205416
Cd_4,0.08665211702051588
Cd_5,0.12737469545359473
Cd_6,0.16473901268319435
Zn_1,0.009129553075934708
Zn_2,0.01974862714905745
Zn_3,0.031638204287400426
Zn_4,0.04818222689488163
Zn_5,0.06799869460382811
Zn_6,0.08721013063019413
Cu_1,0.002006515803142969
Cu_2,0.006673544854894674
Cu_3,0.012703752565541128
Cu_4,0.017441293121603585
Cu_5,0.020476438379001385
Cu_6,0.02377825885147753
Pb_1,-0.00042646439863243787
Pb_2,0.0077437182973747985
Pb_3,0.009334123771754091
Pb_4,0.00902624750934406
Pb_5,0.012668511611394493
Pb_6,0.01945639912793827
