,trmU
Cr_1,0.0035506952052971608
Cr_2,0.005816324930848687
Cr_3,0.0077721671532655955
Cr_4,0.009672568830005704
Cr_5,0.011284612761636418
Cr_6,0.009856086591517212
Fe_1,-0.0005602879733709688
Fe_2,-0.002749989259389359
Fe_3,0.0003765681955639001
Fe_4,0.004070504128908269
Fe_5,0.010846960987508788
Fe_6,0.01935659824985729
Cd_1,0.0006966245494946187
Cd_2,0.0035671746302803095
Cd_3,0.009612025748964107
Cd_4,0.013995479693064534
Cd_5,0.015383107763997947
Cd_6,0.018235626259593542
Zn_1,-0.0043047161636901475
Zn_2,-0.0015356569682515714
Zn_3,0.011351472355003271
Zn_4,0.028612067665009806
Zn_5,0.04012212134578744
Zn_6,0.0440878364591602
Cu_1,-0.001870946933244275
Cu_2,0.0004471859317283205
Cu_3,0.004520694701443618
Cu_4,0.005118281317111161
Cu_5,0.005383590047599082
Cu_6,0.008979601963163534
Pb_1,0.00424400739541691
Pb_2,0.005145250971996876
Pb_3,0.008053333085640345
Pb_4,0.015161017895382526
Pb_5,0.02104046334093085
Pb_6,0.031461375464793884
