,hdeD
Cr_1,0.0007067829021503848
Cr_2,-0.0011336254157259735
Cr_3,0.002982670172737457
Cr_4,0.008578769690211778
Cr_5,0.013798094311866177
Cr_6,0.01456671869528936
Fe_1,-0.022549029954464624
Fe_2,-0.05278684180262511
Fe_3,-0.09025038706842843
Fe_4,-0.134756439360122
Fe_5,-0.16974291647495793
Fe_6,-0.2029033404401453
Cd_1,-0.004185997949395475
Cd_2,0.002069296369566477
Cd_3,0.016398844847945834
Cd_4,0.05141725941451555
Cd_5,0.09857606207865252
Cd_6,0.15570453089635014
Zn_1,0.0006013719538595986
Zn_2,-0.01150473427511134
Zn_3,-0.019481353014864384
Zn_4,-0.01608706782660766
Zn_5,-0.009335788914401934
Zn_6,-0.01037310707152611
Cu_1,0.005667189531147959
Cu_2,0.009494918786090515
Cu_3,0.008003049644610512
Cu_4,0.006067112682912174
Cu_5,0.005801132381425935
Cu_6,0.005732055558928898
Pb_1,-0.003227749255489181
Pb_2,-0.006680992791787005
Pb_3,-0.005810839550511481
Pb_4,-0.007648951883828861
Pb_5,-0.01428378471825914
Pb_6,-0.016002239674139482
