,yebA
Cr_1,-0.0022096976005231035
Cr_2,0.0030602466893389947
Cr_3,0.008189177769805071
Cr_4,0.013399519926935057
Cr_5,0.013552518277093495
Cr_6,0.012065007488008778
Fe_1,-0.03281360719999321
Fe_2,-0.0724330027446886
Fe_3,-0.1265251947219849
Fe_4,-0.1957157566805195
Fe_5,-0.20599617679361487
Fe_6,-0.23926312753666595
Cd_1,0.0005974299401452547
Cd_2,0.006188688710485037
Cd_3,0.010527860739600464
Cd_4,0.018490434442589448
Cd_5,0.020424022960268025
Cd_6,0.026948044922316228
Zn_1,-0.02342209827023823
Zn_2,-0.044264055302033735
Zn_3,-0.06390175636247285
Zn_4,-0.06934611821873198
Zn_5,-0.04282318150273373
Zn_6,-0.028948647830450525
Cu_1,0.0038882849878629205
Cu_2,0.003169888299829908
Cu_3,0.01384710220164788
Cu_4,0.0177917784746959
Cu_5,0.019501178258896745
Cu_6,0.03195624248938821
Pb_1,0.0028711209940662577
Pb_2,0.009530544928401849
Pb_3,0.0242884933344777
Pb_4,0.03232863856484231
Pb_5,0.04622779719038152
Pb_6,0.0586316286186417
