,malF
Cr_1,0.006379489373079385
Cr_2,0.011163956184548084
Cr_3,0.01756869894701194
Cr_4,0.02243666154367398
Cr_5,0.027845884015326783
Cr_6,0.031395733326974554
Fe_1,-0.007699545056348781
Fe_2,-0.02729384625241218
Fe_3,-0.04713274949464297
Fe_4,-0.0742084227497891
Fe_5,-0.09539451117307332
Fe_6,-0.1069542571132392
Cd_1,0.002520747645503851
Cd_2,0.00380460773802703
Cd_3,0.006025819832932619
Cd_4,0.010232376281263644
Cd_5,0.004287917947775008
Cd_6,0.00457184455522884
Zn_1,-0.014094676623016274
Zn_2,-0.02303216160104081
Zn_3,-0.028959924131239025
Zn_4,-0.025074490991083852
Zn_5,-0.016221857724086113
Zn_6,-0.014934331282233353
Cu_1,0.0024950510961345225
Cu_2,0.009337804894691165
Cu_3,0.01659255948799523
Cu_4,0.013938867431173023
Cu_5,0.011610422668946588
Cu_6,0.009644166840756826
Pb_1,-0.012781899274092894
Pb_2,-0.01318643474434998
Pb_3,-0.007824761038416584
Pb_4,-0.01179571484352766
Pb_5,-0.0161501817830484
Pb_6,-0.012607825783502174
