,fabF
Cr_1,0.0021243683639750924
Cr_2,0.0052428330323505395
Cr_3,0.008239945540977468
Cr_4,0.011882105460379972
Cr_5,0.011660745526251336
Cr_6,0.00876179518189009
Fe_1,-0.02079242639456821
Fe_2,-0.04444648021611832
Fe_3,-0.06668597405936451
Fe_4,-0.08946298857149165
Fe_5,-0.09260345417722923
Fe_6,-0.08465718203221688
Cd_1,-0.00021389840302047348
Cd_2,-3.207817995607359e-05
Cd_3,0.0009511211318002324
Cd_4,0.004239659597816921
Cd_5,0.0012496523474682512
Cd_6,0.0044299080753051655
Zn_1,-0.01025878159548563
Zn_2,-0.009687713755225171
Zn_3,0.003912515904350168
Zn_4,0.017448241462663498
Zn_5,0.021067933635174733
Zn_6,0.02441941682045357
Cu_1,0.03265070233320984
Cu_2,0.09940568718090637
Cu_3,0.15685372445200688
Cu_4,0.1922835621379695
Cu_5,0.21567781863569904
Cu_6,0.2442289788572405
Pb_1,0.0043967049427437845
Pb_2,0.010599391144349978
Pb_3,0.0126036503098881
Pb_4,0.02287152620566237
Pb_5,0.025591848955152024
Pb_6,0.03669568607583794
