,A,Fnr,Crp,Fis,NarP,Cra,hns,NarL,ihfB
R2,,0.19942975010219,0.11661028490083436,0.03260535917508556,0.030854111213242552,0.011343099920154698,0.011310000385497343,0.008931067634339596,0.008577397911260998
xmin,,-7.8525940196,-9.852476477,-4.8936592304,-3.4636144832999998,-7.2746930645,-11.2828757996,-3.0560450505,-3.9178110457
xmid,,-1.824738063754269,-1.2269435775563016,-1.2696670646853394,0.06368224543912508,-2.285380679975016,-3.426975687164177,,0.6700611797748203
xmax,,4.4171410107,2.5388323397,4.361795663,2.9757521876,2.4360738119,2.8974495703,2.4694155805999998,3.3245249795
ystart,,3.9073014808762614,-1.1480784704170717,1.650345517525362,0.5870886801752551,-0.05536538879400066,-0.46966022671059526,1.8970640421537164,0.9703367462523875
yend,,-7.835203447868747,5.059390749949255,-1.8074599549854358,4.081610726860338,2.088602845491427,2.0220457817509585,-0.045417566170694146,-2.4465325840829353
SRX1125282,0.4647396151,-0.0825740115,0.0344951212,0.1452799267,-0.025949787000000002,0.062006051900000005,-0.0832222629,0.0834143878,-0.1131958483
SRX1125283,0.7648986764,0.16485310350000001,0.1435731223,0.032152022100000004,-0.0137519644,-0.1314214465,-0.0215977273,0.0504933555,0.0772468121
SRX1125284,0.6923664361,0.7752711503,0.2534372822,-0.11344229280000001,0.0609692344,0.0314530619,0.014475031800000001,0.031696480900000004,0.0671979825
SRX1125285,-0.8394079053,0.9066270852,0.283920339,-0.6030691047,-0.10841500300000001,-0.1295274102,-0.069698208,-0.0029696078000000002,-0.031233225400000002
SRX1125286,-4.2881760206,0.95171602,0.3175329239,-0.7040569003,-0.2022767549,-0.2247240932,-0.28960489710000004,-0.3118176763,0.0201842575
SRX1125287,-5.1540563341,1.0192587317,0.17602055360000002,-0.3000441569,0.122656549,-0.7116227439,-0.2321548066,-1.1250431231,-0.1696861744
SRX1125288,-0.4276295115,0.1234264677,0.005256366,-0.1565872788,-0.25349993590000003,-0.1377842684,-0.0482583698,0.0253800388,0.030994294500000002
SRX1125289,-0.3250238232,0.4334180231,0.2819816342,0.0544366627,0.11107518100000001,-0.0278778495,-0.2218292502,-0.0159687598,0.0539088152
SRX1125290,-0.8049079716,0.7979562918,0.2801678667,-0.2428967066,-0.056693302200000004,-0.0861555941,-0.0773807522,0.11729304230000001,0.1097352022
SRX1125291,-2.5026154758,0.8964971719,0.4762089513,-0.7952871017,-0.3977770989,-0.0825496888,-0.0678102107,-0.0645860458,0.2340397233
SRX1125292,-5.1586015153,0.9047534472000001,0.5370175003000001,-1.2037749275,-0.2185532135,-0.0984813253,-0.1422065635,-0.4360385312,0.2579735379
SRX1125293,-4.9796647238,0.9185125141,0.5086233319,-0.8523048087,-0.0581421639,-0.48781484950000004,0.2490992528,-0.7155510694,0.5504911606
SRX1125294,-0.0371101036,-0.040852456200000005,-0.039751487200000005,0.011307352100000001,0.27944972300000004,0.07577821650000001,0.13148063270000002,-0.10879442660000001,0.0822015539
SRX1125295,1.1738019967,0.2208704434,0.2905320638,0.29622605760000004,0.181212162,-0.0035574465000000003,0.2910135497,0.004012204,0.4189166854
SRX1125296,0.9380160726000001,0.7920547098,0.1859933018,0.0283022157,0.0720095186,-0.16898320120000002,0.1734109775,0.1317350897,0.2529822276
SRX1125297,-0.21778638490000002,0.8818752216,0.3699621097,-0.43191519440000004,-0.12842398730000001,-0.3037351676,0.28443055370000003,0.0470774695,0.39341672120000004
SRX1125298,-4.41527544,0.9825066807,0.5483756585,-1.1986122972,-0.21288096950000002,-0.012594644700000001,0.0742654028,-0.5255995358000001,0.2673414086
SRX1125299,-5.2144776889,0.9444446514,0.50143841,-1.2380068344,-0.1782494413,-0.2651798535,0.23033813420000002,-0.9168248342,0.42329341260000003
SRX5694250,0.6043773414,0.0403637158,-0.4516798918,-0.1179993382,-0.4338146809,0.7869246933,-1.3295713452,1.9154446272,2.297485246
SRX5694251,-2.4756367703,0.5459244040000001,-1.8893970692000002,0.7771395971,-0.1175039434,-1.9643924144,0.6661338201,-0.7280519322,-1.5657193052
SRX5694252,2.9073428412,-0.6791990309,-0.1701238306,0.1724641512,-1.0752569035,0.2616035103,-1.732107911,1.1947183288,1.171465281
SRX5694253,1.7509814056000002,0.0078028844000000005,0.1340371706,-0.4379147116,-0.1711096228,0.0813911834,0.16751679260000002,0.1780909309,0.294111116
SRX5694254,3.121952275,-1.3129271236,-0.8477189713000001,1.7759768752,0.48338741570000004,-1.1465008338,-0.3087090213,1.2955909793,0.9331627303000001
SRX5694255,3.3508050337,0.20689053170000002,0.1307715067,0.1268043401,-1.8476087346,-3.3721230493,-1.4290721084,-1.6319055235,-1.5948301920999999
SRX5694256,0.6879646678,-0.045048951000000004,-0.2340068764,0.08683377910000001,-0.4523160888,0.11221218470000001,-0.1462527268,0.4734941154,-0.6969566792
SRX5694257,1.5359500953,0.4656249649,-0.33700626310000004,0.147434414,-0.36014899040000004,-1.3980611692,-0.641073463,-0.1664938681,-0.24371025970000001
SRX5694258,2.3107044308,-0.3784852643,-0.2857852433,-0.7709696535,-0.4676117134,0.2467512605,-0.0725217448,0.5350788069,0.3294536628
SRX5694259,-3.078371171,0.3019332691,-2.9247054987,1.8644089753,0.4629083968,-2.6432952439,0.4503702694,-1.1516025581,-1.0253066066
SRX5694260,4.1472672422,0.0320312785,0.0899715865,-0.3006031253,0.0851830803,0.2581778823,0.1739432252,0.2589008747,-1.1929652783
SRX5694261,1.8486246146,-2.6112045671,-1.6070723407,0.5347225265000001,-0.8365717475000001,-0.0287932522,-0.6767263614,0.6985329095,0.8805616572
SRX5694262,2.1193462828,0.2482154852,-0.5390842036,-0.315531422,0.5061302001,0.6316982481,-1.031702481,1.5091314717,1.9132335694
SRX5694263,-0.4745569417,0.0230880885,-0.0980165268,-0.27706315800000003,0.3847222361,0.0781090031,0.14700628870000002,0.0599282165,-1.1279696429000001
SRX5694264,-1.3752930202,0.3075812793,0.2016373309,-1.0515561892,-0.06551305810000001,-0.4752620474,-0.41701238430000004,-0.3923176547,-0.9605612867000001
SRX5694265,-0.2692680574,-0.7038356709,-0.2490351859,0.45988812300000004,0.2361240816,0.4332073776,-0.1614027818,-0.4271510985,-0.7856317823000001
SRX5694267,0.9853288710000001,-0.2244639849,0.0411821817,-0.1227531806,-0.2733503608,0.0325016821,0.3006681781,0.2821523801,0.10447339950000001
