locus,gene_weight,gene_name,gene_product,cog,operon,regulator,NarL,Fnr,NarP,Crp,H-NS,Cra,IHF,Fis,link
b3366,0.4610573384,nirD,nitrite reductase subunit NirD,Inorganic ion transport and metabolism,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr",True,True,True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10655
b3365,0.3247736955,nirB,nitrite reductase catalytic subunit NirB,Energy production and conversion,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr,ryhB",True,True,True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10653
b3367,0.3034573005,nirC,nitrite transporter NirC,Inorganic ion transport and metabolism,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr",True,True,True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10654
