,cysW
Cr_1,-0.006100621665000004
Cr_2,-0.009621045831985522
Cr_3,-0.013010847467612713
Cr_4,-0.01877286464337436
Cr_5,-0.023568643848470468
Cr_6,-0.03260586537354553
Fe_1,-0.007465942357379261
Fe_2,-0.023169873093553617
Fe_3,-0.030650124260731694
Fe_4,-0.039040009137831816
Fe_5,-0.046257786619787834
Fe_6,-0.046151290971465316
Cd_1,-0.0006126178078106509
Cd_2,-0.00433078376581202
Cd_3,-0.003201077135621037
Cd_4,-0.00025885206586669053
Cd_5,-0.002281149174276513
Cd_6,-0.00488838247351015
Zn_1,-0.0018705387318190528
Zn_2,-0.004602002312063682
Zn_3,0.0038203286883695385
Zn_4,0.014348003933186259
Zn_5,0.01549073417475576
Zn_6,0.011383687295678091
Cu_1,0.0021252005019862298
Cu_2,0.006552754647857356
Cu_3,0.0031722752731507178
Cu_4,0.0008568108492885041
Cu_5,-0.0007863234343041079
Cu_6,0.002546221996502248
Pb_1,0.0020446885550344184
Pb_2,0.0048707429745823965
Pb_3,0.006756454128050051
Pb_4,0.009598812666330092
Pb_5,0.009013965441910077
Pb_6,0.01320986822246022
