,yciA
Cr_1,-0.0011741091287625414
Cr_2,-0.0017991646447633235
Cr_3,0.0006785616802326447
Cr_4,0.0009105597937364119
Cr_5,-0.0005572976539016313
Cr_6,-0.0009267393726480508
Fe_1,-0.005700156029533907
Fe_2,-0.00794201956521618
Fe_3,-0.003012158103514488
Fe_4,-2.0710779940129557e-05
Fe_5,0.007227396027428691
Fe_6,0.016496571685848418
Cd_1,-0.00019429114510957765
Cd_2,0.0020153181888509326
Cd_3,0.008007273412489163
Cd_4,0.015363682483238118
Cd_5,0.016928001605125108
Cd_6,0.020984465277059387
Zn_1,-0.004615543023988152
Zn_2,-0.004902094775780965
Zn_3,0.008274024860136992
Zn_4,0.015439904271084515
Zn_5,0.016702961439857174
Zn_6,0.017084160029934285
Cu_1,0.002045837109597756
Cu_2,0.007346631512576336
Cu_3,0.017589411894841856
Cu_4,0.027884323016124063
Cu_5,0.03769303601622147
Cu_6,0.050614376043788635
Pb_1,-0.00038466676741142253
Pb_2,0.0017346402104125847
Pb_3,0.0042576504602121566
Pb_4,0.01764166072455511
Pb_5,0.031157070305471136
Pb_6,0.05004565537207925
