,Value,list
TF,ABUW_1645,
reg_genes,116,"['ABUW_2832' 'ABUW_0646' 'ABUW_2921' 'ABUW_1651' 'ABUW_3106' 'ABUW_2923'
 'ABUW_1287' 'ABUW_1471' 'ABUW_0118' 'ABUW_2730' 'ABUW_2060' 'ABUW_1466'
 'ABUW_2061' 'ABUW_0117' 'ABUW_3351' 'ABUW_0566' 'ABUW_2861' 'ABUW_2685'
 'ABUW_0121' 'ABUW_0812' 'katE' 'gst' 'ABUW_1536' 'ABUW_2074' 'ABUW_2691'
 'ABUW_2435' 'ABUW_0328' 'ABUW_2058' 'ABUW_0851' 'ABUW_1499' 'ABUW_0651'
 'ABUW_0628' 'ABUW_3579' 'ABUW_1905' 'acnA' 'ABUW_2673' 'ABUW_2621'
 'ABUW_1467' 'ABUW_3403' 'ABUW_0381' 'ABUW_2684' 'ABUW_0235' 'ABUW_0143'
 'ABUW_2818' 'ABUW_2442' 'degP' 'ABUW_1633' 'ABUW_2434' 'ABUW_1473'
 'ABUW_3147' 'add2' 'aqpZ' 'ABUW_2065' 'ABUW_1227' 'ABUW_2519' 'hppD'
 'ABUW_2408' 'cbpA' 'bfr2' 'ABUW_0810' 'ABUW_2554' 'ABUW_1128' 'sndH2'
 'ABUW_1573' 'ABUW_1632' 'ampC' 'mdfA' 'ABUW_0068' 'ABUW_0116' 'ABUW_1076'
 'ABUW_1631' 'ABUW_1508' 'ABUW_3026' 'ABUW_1652' 'ABUW_2149' 'otsB'
 'ABUW_2696' 'ABUW_2834' 'ABUW_1282' 'ABUW_1645' 'ABUW_1210' 'ABUW_1903'
 'ABUW_1660' 'ABUW_0904' 'ABUW_2933' 'ABUW_2578' 'ABUW_1286' 'ABUW_0274'
 'ABUW_0813' 'ABUW_1659' 'aadA1' 'ABUW_0771' 'ABUW_1988' 'ABUW_2161'
 'ABUW_0233' 'ABUW_0944' 'ABUW_1693' 'ABUW_1044' 'ABUW_2639' 'ABUW_0259'
 'ABUW_2686' 'ABUW_0053' 'ABUW_3865' 'ABUW_0181' 'fahA' 'ABUW_2064'
 'ABUW_3352' 'ABUW_2122']"
comp_genes,13,['ABUW_2449' 'hutU' 'ABUW_2448' 'atoA' 'atoD']
both_genes,8,"['ABUW_2455' 'ABUW_2451' 'ABUW_2453' 'ABUW_1572' 'mgh' 'ABUW_2450'
 'ABUW_2452' 'ABUW_2456']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
