,A,ABUW_1645
R2,,0.0
xmin,,-2.7793908819
xmid,,
xmax,,7.6622106786
ystart,,-0.4812134124647482
yend,,-0.4812134124647482
AB0057_PGcoculture__PGAB__1.0,-6.6427262672000005,0.006508201900000001
AB0057_PGcoculture__PGAB__2.0,-6.3089017178999995,0.1586859168
AB0057_PGcoculture__PGAB__3.0,-6.5402793193,0.2226886721
AB0057_PGcoculture__AB __1.0,-0.10284304720000001,0.1149881162
AB0057_PGcoculture__AB __2.0,-0.0862977998,0.19959978720000002
AB0057_PGcoculture__AB __3.0,-0.10112023440000001,-0.0094332719
AB0057_PGcoculture__AB __4.0,0.2902610814,-0.3051546316
AB0057_PGcoculture__ABPG__1.0,-0.3594510655,-0.6758850737000001
AB0057_PGcoculture__ABPG__2.0,-0.1034684916,-0.6534623868
AB0057_PGcoculture__ABPG__3.0,-0.006220257000000001,0.0247865526
AB0057_PGcoculture__ABPG__4.0,0.024442965400000002,-0.8490373926
AB5075_AZI__AZI_000__1.0,-0.0838795693,0.2859452678
AB5075_AZI__preculture__1.0,-13.6425758357,-1.1376098245
AB5075_AZI__preculture__2.0,-13.8001051897,-1.4530477331
AB5075_AZI__AZI_040__1.0,-17.6929813753,0.0455942687
AB5075_AZI__AZI_028__1.0,-0.3027089035,0.5075255922
AB5075_AZI__AZI_003__1.0,-2.4048253665,-0.1036537007
AB5075_AZI__AZI_000__2.0,0.0838795693,-0.2859452678
AB5075_AZI__AZI_040__2.0,-20.0123057324,-0.1258317085
AB5075_AZI__AZI_028__2.0,-1.2302023806,0.0641401021
AB5075_AZI__AZI_003__2.0,-0.2471691167,-0.29629702480000003
AB5075_VIR-O_AV-T__AV-T/vector__1.0,-5.7444217452,1.7334509728
AB5075_VIR-O_AV-T__VIR-O/vector__1.0,-1.9492973443000001,0.0310264689
AB5075_VIR-O_AV-T__VIR-O/vector__2.0,-0.4618858213,0.7904198704000001
AB5075_VIR-O_AV-T__VIR-O/vector__3.0,2.4111831656,-0.8214463392
AB5075_VIR-O_AV-T__VIR-O/1645__1.0,-3.8802066785,7.5086020171
AB5075_VIR-O_AV-T__VIR-O/1645__2.0,-1.7545117658,7.4309639364
AB5075_VIR-O_AV-T__VIR-O/1645__3.0,0.2970767648,7.6622106786
AB5075_VIR-O_AV-T__AV-T/vector__2.0,-5.8890802445,2.123239949
AB5075_VIR-O_AV-T__AV-T/vector__3.0,-4.4100303007,2.460949407
AB5075_VIR-O_LSO__VIR-O__1.0,0.19445596880000002,-0.2677283258
AB5075_VIR-O_LSO__LSO__1.0,-0.5630949652,-0.7363566629
AB5075_VIR-O_LSO__VIR-O__2.0,0.8535801109000001,-0.0784677466
AB5075_VIR-O_LSO__LSO__2.0,-3.6584696138,-0.7466909604
AB5075_VIR-O_LSO__VIR-O__3.0,-1.0480360797,0.3461960724
AB5075_VIR-O_LSO__LSO__3.0,1.1506730209,-0.48111618840000003
AB5075_Zinc__Control__1.0,-2.0327097016,-0.1115285554
AB5075_Zinc__Control__2.0,4.5234682033,2.7099393593
AB5075_Zinc__Control__3.0,-2.4907585017000002,-2.5984108039000002
