,hydN
Cr_1,-0.008408772650691851
Cr_2,-0.00574627856635377
Cr_3,-0.002555288969855616
Cr_4,0.00945183526682264
Cr_5,0.012858148215579013
Cr_6,0.010130607208129428
Fe_1,-0.01253876128865582
Fe_2,-0.03255450092190566
Fe_3,-0.04823657832970992
Fe_4,-0.0605607517155595
Fe_5,-0.06506810218133509
Fe_6,-0.07083241149034968
Cd_1,0.005154055871371551
Cd_2,0.008455292646049476
Cd_3,0.01279080457220203
Cd_4,0.014780201639688632
Cd_5,0.014151529734169752
Cd_6,0.02019060326736556
Zn_1,-0.012836240042162494
Zn_2,-0.022776546633336885
Zn_3,-0.02388607728610571
Zn_4,-0.016742748266227597
Zn_5,-0.01654177590309929
Zn_6,-0.005045027478812603
Cu_1,-0.0021118397079226336
Cu_2,3.9427918137613294e-05
Cu_3,0.005514869627763608
Cu_4,0.008456596565569189
Cu_5,0.011356818019531556
Cu_6,0.01653972162702086
Pb_1,0.0036450853729418243
Pb_2,0.011856000618887823
Pb_3,0.010348016766535996
Pb_4,0.016237110851769737
Pb_5,0.02366288039930165
Pb_6,0.030013799649340107
