,cueO
Cr_1,-0.0011981563185274493
Cr_2,-0.001366504782806968
Cr_3,-0.003023542052146957
Cr_4,-0.0062021527958571274
Cr_5,-0.0048184080377448296
Cr_6,-0.005668299485640371
Fe_1,-0.013441833978771052
Fe_2,-0.03183719903713933
Fe_3,-0.04921987155697368
Fe_4,-0.07434848431033586
Fe_5,-0.09101803477273253
Fe_6,-0.1014446040553931
Cd_1,0.0015578773060026902
Cd_2,0.0017412241162724881
Cd_3,0.0008240963677176678
Cd_4,-0.0023303897903752357
Cd_5,-0.009287110584896598
Cd_6,-0.009209541044300931
Zn_1,-0.01232393118659092
Zn_2,-0.027110549245875762
Zn_3,-0.03257603259481918
Zn_4,-0.03222938565216195
Zn_5,-0.02657020392205662
Zn_6,-0.019993155012477157
Cu_1,0.07889118964444926
Cu_2,0.24125716779360584
Cu_3,0.3891747133260733
Cu_4,0.5086050355951129
Cu_5,0.6053425437980825
Cu_6,0.6838174731006078
Pb_1,0.0015940848579607768
Pb_2,0.002808481780169433
Pb_3,0.006451013264040471
Pb_4,0.012767125964559554
Pb_5,0.017178537239126008
Pb_6,0.02271058040327556
