,rhaS
Cr_1,0.004234421131028258
Cr_2,0.0045274813895808865
Cr_3,0.009718326865505698
Cr_4,0.012616526645718905
Cr_5,0.017201099458510245
Cr_6,0.02269073249830116
Fe_1,-0.0087592795562782
Fe_2,-0.03180547601496748
Fe_3,-0.05103579136743319
Fe_4,-0.06263720607833008
Fe_5,-0.08335775698341798
Fe_6,-0.08649281431234382
Cd_1,-0.0011691989573585245
Cd_2,-0.0005283580402328927
Cd_3,0.0015646130321261985
Cd_4,0.0071547637519195
Cd_5,0.010136949986771148
Cd_6,0.010906216765050492
Zn_1,-0.005701660190205632
Zn_2,-0.010118932954578141
Zn_3,-0.00455526766849737
Zn_4,0.000936737881048492
Zn_5,0.014905576010433387
Zn_6,0.022426019501450702
Cu_1,0.005571261452647434
Cu_2,0.009948651190239114
Cu_3,0.015209012629757646
Cu_4,0.01972572184219275
Cu_5,0.019033173472163743
Cu_6,0.021099308072907583
Pb_1,-0.0011743455618841373
Pb_2,0.0072711717624159514
Pb_3,0.02242530824325377
Pb_4,0.035599609164761535
Pb_5,0.04280747920086251
Pb_6,0.052155916480873615
